In Buffer 1500,Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Neunforn,TG,"100m N vom Eichhof, am Waldrand. Ackerrandstreifen neben Wald.","495","2701109","1273513","7",A,"101–250 / Ausdehnung = 24 * 3m; Dichte (Braun-Blanquet) = 4",,"2004","7","14",,"Info Flora, Daniel Schlaepfer",Schlaepfer Daniel,"200278",LC,K,,,,,,,,LC,TypoCH 7.1 : Trittrasen und Ruderalfluren,,,,Apiaceae,,INN,,
,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2013",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434028",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2015",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"3956654",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
,infoflora:6800,Gefässpflanzen,Geissfuss,Aegopodium podagraria L.,www.infoflora.ch/flora/1000930,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354456",LC,K,,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:6900,Gefässpflanzen,Rosskastanie,Aesculus hippocastanum L.,www.infoflora.ch/flora/1000940,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2015",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"4800489",,,,,,,,,,,,,,,Sapindaceae,,NEO,"1",
x,infoflora:7200,Gefässpflanzen,Hundspetersilie,Aethusa cynapium L.,www.infoflora.ch/flora/1000990,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2015",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"3956893",LC,K,L,,,,,,,LC,,,,,Apiaceae,,INN,,
,infoflora:7200,Gefässpflanzen,Hundspetersilie,Aethusa cynapium L.,www.infoflora.ch/flora/1000990,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"4832268",LC,K,L,,,,,,,LC,,,,,Apiaceae,,INN,,
x,infoflora:7200,Gefässpflanzen,Hundspetersilie,Aethusa cynapium L.,www.infoflora.ch/flora/1000990,Neunforn,TG,,,"2701500","1274500","707",B,,,"2018","7","27",,BAFU / OFEV / UFAM,Schach Johannes,"8190815",LC,K,L,,,,,,,LC,,,,,Apiaceae,,INN,,
,infoflora:7400,Gefässpflanzen,Kleiner Odermennig,Agrimonia eupatoria L.,www.infoflora.ch/flora/1001010,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"3434029",LC,K,L,,,,,,,LC,,,,,Rosaceae,,INN,,
x,infoflora:7400,Gefässpflanzen,Kleiner Odermennig,Agrimonia eupatoria L.,www.infoflora.ch/flora/1001010,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2016",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"3956655",LC,K,L,,,,,,,LC,,,,,Rosaceae,,INN,,
x,infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Indéterminé (ZH),ZH,,466-469,"2700662","1274708","10",A,,,"2015","10","2",,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"4853509",EN,"3",Z,,"2","0",,,,DD,TypoCH 8.2 : Feldkulturen (Äcker),,,,Caryophyllaceae,,INN,"2",Ix
x,infoflora:8200,Gefässpflanzen,Kornrade,Agrostemma githago L.,www.infoflora.ch/flora/1001050,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2015",,,,Flora des Kantons Zürich,Zürcherische Botanische Gesellschaft (ZBG),"4853508",EN,"3",Z,,"2","0",,,,DD,,,,,Caryophyllaceae,,INN,,
,infoflora:8500,Gefässpflanzen,Sumpf-Straussgras,Agrostis canina L.,www.infoflora.ch/flora/1001070,Neunforn,TG,"Moore bei Neunforn TG, Barchetsee. Caricetum lasiocarpae.","465","2698940","1274730","25",A,,,"1994","7","15",,"Info Flora, Rolf Hangartner",Hangartner Rolf,"3033346",NT,K,,,,,,,,NT,TypoCH 2.2.4 : Übergangsmoor,,,,Poaceae,,INN,,
,infoflora:8600,Gefässpflanzen,Haar-Straussgras,Agrostis capillaris L.,www.infoflora.ch/flora/1001080,Indéterminé (ZH),ZH,,372-381,"2700500","1271500","707",A,,,"2015",,,,Flora des Kantons Zürich,Bernowitz Karin,"4572528",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
x,infoflora:8700,Gefässpflanzen,Riesen-Straussgras,Agrostis gigantea Roth,www.infoflora.ch/flora/1001090,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956894",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
,infoflora:8700,Gefässpflanzen,Riesen-Straussgras,Agrostis gigantea Roth,www.infoflora.ch/flora/1001090,Indéterminé (ZH),ZH,,375-461,"2702500","1271500","707",A,,,"2017",,,,Flora des Kantons Zürich,Wohlgemuth Thomas,"6354457",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
x,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Neunforn,TG,,,"2701500","1274500","707",B,,,"2008","4","29",,BAFU / OFEV / UFAM,Breunig Thomas,"3520325",LC,K,,,,,,,,LC,"TypoCH 8.2.3 : Hackfruchtacker (Sommerkultur), Garten",,,,Poaceae,,INN,,
x,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Neunforn,TG,,,"2701500","1274500","707",B,,,"2013","5","7",,BAFU / OFEV / UFAM,Schach Johannes,"4499864",LC,K,,,,,,,,LC,TypoCH 4.0.1 : Kunstwiese auf Fruchtfolgefläche,,,,Poaceae,,INN,,
x,infoflora:9300,Gefässpflanzen,Kriechendes Straussgras,Agrostis stolonifera L.,www.infoflora.ch/flora/1001130,Indéterminé (ZH),ZH,,436-502,"2700500","1274500","707",A,,,"2013",,,,Flora des Kantons Zürich,?,"3956656",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
