gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3988559520,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/124913886,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia cracca,,SPECIES,Vicia cracca L.,Vicia cracca,,CH,,Thurgau,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,47.576803,8.853425,,,,,,,21.06.22 18:24,21,6,2022,2975287,2975287,HUMAN_OBSERVATION,iNaturalist,Observations,124913886,,Norbert Sauberer,10.11.22 04:33,CC0_1_0,Lorenz,Lorenz,,,09.12.22 21:35,StillImage,COORDINATE_ROUNDED
3960085324,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10593810539,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus sceleratus,,SPECIES,Ranunculus sceleratus L.,Ranunculus sceleratus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.606808,8.841982,16,,434.56,0,,,21.05.22 13:47,21,5,2022,3033374,3033374,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:02,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960071441,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10559362738,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,Viburnum lantana,,SPECIES,Viburnum lantana L.,Viburnum lantana L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.592935,8.81988,5,,517.35,0,,,20.04.22 12:53,20,4,2022,2888615,2888615,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:02,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960062414,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10442361703,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus mas,,SPECIES,Cornus mas L.,Cornus mas L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.583976,8.866144,,,,,,,01.08.21 14:15,1,8,2021,3082263,3082263,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:59,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3960032383,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10624965569,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cladium,Cladium mariscus,,SPECIES,Cladium mariscus (L.) Pohl,Cladium mariscus (L.) Pohl,(L.) Pohl,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.60856,8.826101,9,,435.69,0,,,17.06.22 06:44,17,6,2022,2731327,2731327,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:08,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959967471,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10599479977,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,Sambucus ebulus,,SPECIES,Sambucus ebulus L.,Sambucus ebulus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.584709,8.852867,3,,506,0,,,26.05.22 08:00,26,5,2022,2888722,2888722,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 01:06,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959929735,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10593711550,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Hordeum,Hordeum vulgare,,SPECIES,Hordeum vulgare L.,Hordeum vulgare L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.579606,8.845985,5,,383.74,0,,,21.05.22 12:49,21,5,2022,2706056,2706056,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:51,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959905351,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10359899302,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon,,SPECIES,Lamium galeobdolon (L.) L.,Lamium galeobdolon (L.) L.,(L.) L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.584279,8.856017,12,,324.16,0,,,20.05.21 17:09,20,5,2021,2927324,2927324,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:57,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959786065,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10580061941,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Chelidonium,Chelidonium majus,,SPECIES,Chelidonium majus L.,Chelidonium majus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.575849,8.851013,15,,444,0,,,09.05.22 15:21,9,5,2022,5334186,5334186,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:48,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959779679,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10339140280,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus laurocerasus,,SPECIES,Prunus laurocerasus L.,Prunus laurocerasus L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.597758,8.835358,5,,485.85,0,,,01.05.21 11:39,1,5,2021,3021496,3021496,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:57,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3959659538,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10659145811,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Parnassiaceae,Parnassia,Parnassia palustris,,SPECIES,Parnassia palustris L.,Parnassia palustris L.,L.,CH,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,47.59118,8.816719,16,,517.65,0,,,27.07.22 10:10,27,7,2022,3032585,3032585,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,25.11.22 00:54,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
