Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:364000,Gefässpflanzen,Lavendel-Weide,Salix elaeagnos Scop.,www.infoflora.ch/flora/1040710,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Flussdamm",380,2703000,1270000,1000,A,,,1991,10,16,,Naturmuseum Thurgau,Grädel,6494125,LC,K,,,,,,,Teilweise geschützt,LC,,,,,Salicaceae,,INN,,
infoflora:366400,Gefässpflanzen,Mandel-Weide,Salix triandra L.,www.infoflora.ch/flora/1041020,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Flussdamm",380,2703000,1270000,1000,A,,,1991,10,16,,Naturmuseum Thurgau,Grädel,6480094,LC,K,,,,,,,Teilweise geschützt,LC,,,,,Salicaceae,,INN,,
infoflora:366500,Gefässpflanzen,Korb-Weide,Salix viminalis L.,www.infoflora.ch/flora/1041040,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Flussdamm, Ufer",380,2703000,1270000,1000,A,,,1991,10,16,,Naturmuseum Thurgau,Grädel,6480960,LC,K,,,,,,,Teilweise geschützt,LC,,,,,Salicaceae,,INN,,
infoflora:403100,Gefässpflanzen,Ästiger Igelkolben,Sparganium erectum L.,www.infoflora.ch/flora/1044890,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703100,1269950,50,A,,,1991,9,29,,Naturmuseum Thurgau,Grädel,6496996,NT,K,,,,,,,,NT,,,,,Typhaceae,,INN,,
infoflora:432100,Gefässpflanzen,Schmalblättriger Rohrkolben,Typha angustifolia L.,www.infoflora.ch/flora/1048230,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703100,1269950,50,A,,,1991,9,29,,Naturmuseum Thurgau,Grädel,6492625,NT,K,,,,,,,Vollständig geschützt,NT,,,,,Typhaceae,,INN,,
infoflora:432200,Gefässpflanzen,Breitblättriger Rohrkolben,Typha latifolia L.,www.infoflora.ch/flora/1048250,Altikon,ZH,"Uesslingen-Buch. Uesslingen, Mittelwiide, Älikerbach. Teich",377,2703000,1270000,1000,A,,,1991,6,30,,Naturmuseum Thurgau,Grädel,6494057,LC,K,,,,,,,Vollständig geschützt,LC,,,,,Typhaceae,,INN,,
infoflora:432200,Gefässpflanzen,Breitblättriger Rohrkolben,Typha latifolia L.,www.infoflora.ch/flora/1048250,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703100,1269950,50,A,,,1991,9,29,,Naturmuseum Thurgau,Grädel,6496492,LC,K,,,,,,,Vollständig geschützt,LC,,,,,Typhaceae,,INN,,
infoflora:300,Gefässpflanzen,Feld-Ahorn,Acer campestre L.,www.infoflora.ch/flora/1000070,Ellikon an der Thur,ZH,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703000,1269000,1000,A,,,1991,9,29,,Naturmuseum Thurgau,Grädel,6492515,LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
infoflora:800,Gefässpflanzen,Berg-Ahorn,Acer pseudoplatanus L.,www.infoflora.ch/flora/1000130,Altikon,ZH,"Uesslingen-Buch. Thur S, östlich Uesslingerbrücke. Flussdamm",380,2703000,1270000,1000,A,,,1991,10,16,,Naturmuseum Thurgau,Grädel,6480096,LC,K,,,,,,,,LC,,,,,Sapindaceae,,INN,,
infoflora:10400,Gefässpflanzen,Kriechender Günsel,Ajuga reptans L.,www.infoflora.ch/flora/1001230,Altikon,ZH,Bachufer,379-380,2702515,1269978,10,A,,,2017,6,14,,"Info Flora, Jasmin Ducry",Ducry Jasmin,8511188,LC,K,,,,,,,,LC,,,,,Lamiaceae,,INN,,
infoflora:21900,Gefässpflanzen,Gemeiner Froschlöffel,Alisma plantago-aquatica L.,www.infoflora.ch/flora/1002510,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703100,1269950,50,A,,,1991,9,29,,Naturmuseum Thurgau,Grädel,6496498,LC,K,,,,,,,,LC,,,,,Alismataceae,,INN,,
infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Uesslingen-Buch,TG,"Uesslingen-Buch. Uesslingen, Mittelwiide, Weidacker. Kiesgrube",376,2703100,1269950,50,A,,,1991,9,29,,Naturmuseum Thurgau,Grädel,6496494,LC,K,,,,,,,,LC,,,,,Betulaceae,,INN,,
infoflora:27600,Gefässpflanzen,Bläulicher Amarant,Amaranthus blitum aggr.,www.infoflora.ch/flora/1003085,Altikon,ZH,"Uesslingen-Buch. Uesslingen, Mittelwiide, Älikerbach. Aue",377,2703000,1270000,1000,A,,,1990,9,15,,Naturmuseum Thurgau,Grädel,6483595,,,,,,,,,,,,,,,Amaranthaceae,,INN,,
infoflora:29000,Gefässpflanzen,Aufrechtes Traubenkraut,Ambrosia artemisiifolia L.,www.infoflora.ch/flora/1003230,Altikon,ZH,,406-407,2702438,1269587,25,A,,,2006,7,31,,Kanton Zürich (AWEL SBS),?,4717337,,,,,,,,,,,,,,,Asteraceae,,NLV,1,
infoflora:29000,Gefässpflanzen,Aufrechtes Traubenkraut,Ambrosia artemisiifolia L.,www.infoflora.ch/flora/1003230,Altikon,ZH,,406-407,2702427,1269595,25,A,,,2006,7,31,,Kanton Zürich (AWEL SBS),?,3401393,,,,,,,,,,,TypoCH 8.2 : Feldkulturen (Äcker),,,,Asteraceae,,NLV,1,
infoflora:29000,Gefässpflanzen,Aufrechtes Traubenkraut,Ambrosia artemisiifolia L.,www.infoflora.ch/flora/1003230,Altikon,ZH,,406-407,2702428,1269595,25,A,1–10 (Individuen),,2006,7,31,,Kanton Zürich (AWEL SBS),GIS-ZH AWEL NEO,8595108,,,,,,,,,,,,,,,Asteraceae,,NLV,1,
