Taxon ID,Gruppe,Trivialname,Taxon,Link zum Taxon,Gemeinde(n),Kanton(e),Fundort,Höhe,Koordx,Koordy,Radius,Räumliche Zusammenfassung,Anzahl,n Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,"Beobachter/in, Sammler/in",ID Beobachtung,Rote Liste,Priorität CH,UZL,WZL,Massnahmebedarf,Monitoring-Bedarf,NHV,SMARAGD,infoflora: Kantonaler Schutzstatus,infoflora: Rote Liste regional,Habitat,Substrat,swisslichens: Ecotyp,Ordnung,Familie,swissfungi: funktionelle Gruppe,Indigenat CH,Standortfremd,Einführung
infoflora:240300,Gefässpflanzen,Gemeines Leinkraut,Linaria vulgaris Mill.,www.infoflora.ch/flora/1027060,Zürich,ZH,,408-409,"2682195","1249156","16",A,,,"2019","5","30",,"Info Flora, Ramon Müller",Müller Ramon,"7766456",LC,K,L,,,,,,,LC,,,,,Plantaginaceae,,INN,,
infoflora:240300,Gefässpflanzen,Gemeines Leinkraut,Linaria vulgaris Mill.,www.infoflora.ch/flora/1027060,Zürich,ZH,,404-404,"2682037","1249396","6",A,,,"2019","6","19",,"Info Flora, Ramon Müller",Müller Ramon,"7991836",LC,K,L,,,,,,,LC,,,,,Plantaginaceae,,INN,,
infoflora:240300,Gefässpflanzen,Gemeines Leinkraut,Linaria vulgaris Mill.,www.infoflora.ch/flora/1027060,Zürich,ZH,,408-409,"2682193","1249147","6",A,,,"2021","5","24",,"Info Flora, Charlotte Salzmann",Salzmann Charlotte,"10275055",LC,K,L,,,,,,,LC,,,,,Plantaginaceae,,INN,,
infoflora:240300,Gefässpflanzen,Gemeines Leinkraut,Linaria vulgaris Mill.,www.infoflora.ch/flora/1027060,Zürich,ZH,,405-405,"2681756","1248780","12",A,1–10 (Fläche [m²]),,"2021","6","30",,"Info Flora, Yvonne Schwarzenbach",Schwarzenbach Yvonne,"10491299",LC,K,L,,,,,,,LC,,,,,Plantaginaceae,,INN,,
infoflora:241700,Gefässpflanzen,Flachs,Linum usitatissimum L.,www.infoflora.ch/flora/1027170,Zürich,ZH,Quadrant G6,404-474,"2682500","1249500","707",A,sehr selten: die Art kommt im Quadrat mit weniger als 20 Individuen oder auf einer Fläche von insgesamt weniger als 1 Are vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"234180",,,,,,,,,,,,,,,Linaceae,,NEO,"1",
infoflora:242560,Gefässpflanzen,Strandkresse,Lobularia maritima (L.) Desv.,www.infoflora.ch/flora/1027280,Zürich,ZH,Quadrant G6,404-474,"2682500","1249500","707",A,selten: die Art kommt im Quadrat mit über 20 Individuen und insgesamt auf 1-100 Aren vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"224338",,,,,,,,,,,,,,,Brassicaceae,,NEO,"1",
infoflora:242560,Gefässpflanzen,Strandkresse,Lobularia maritima (L.) Desv.,www.infoflora.ch/flora/1027280,Zürich,ZH,Quadrant G7,403-431,"2682500","1248500","707",A,sehr selten: die Art kommt im Quadrat mit weniger als 20 Individuen oder auf einer Fläche von insgesamt weniger als 1 Are vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"224339",,,,,,,,,,,,,,,Brassicaceae,,NEO,"1",
infoflora:242560,Gefässpflanzen,Strandkresse,Lobularia maritima (L.) Desv.,www.infoflora.ch/flora/1027280,Zürich,ZH,,405-405,"2682760","1248794","15",A,,,"2022","6","8",,"Info Flora, Ramon Müller",Müller Ramon,"12234339",,,,,,,,,,,,,,,Brassicaceae,,NEO,"1",
infoflora:242700,Gefässpflanzen,Italienisches Raygras,Lolium multiflorum Lam.,www.infoflora.ch/flora/1027300,Zürich,ZH,Quadrant G6,404-474,"2682500","1249500","707",A,selten: die Art kommt im Quadrat mit über 20 Individuen und insgesamt auf 1-100 Aren vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"208724",,,,,,,,,,,,,,,Poaceae,,NEO,"1",
infoflora:242700,Gefässpflanzen,Italienisches Raygras,Lolium multiflorum Lam.,www.infoflora.ch/flora/1027300,Zürich,ZH,Quadrant G7,403-431,"2682500","1248500","707",A,nicht selten: die Art kommt im Quadrat mit Populationen von über 200 Individuen und über eine Fläche von mehr als 100 Aren vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"208725",,,,,,,,,,,,,,,Poaceae,,NEO,"1",
infoflora:242700,Gefässpflanzen,Italienisches Raygras,Lolium multiflorum Lam.,www.infoflora.ch/flora/1027300,Zürich,ZH,,404-417,"2682986","1248743","48",A,,,"2019","6","13",,"Info Flora, Ramon Müller",Müller Ramon,"7991874",,,,,,,,,,,,,,,Poaceae,,NEO,"1",
infoflora:242700,Gefässpflanzen,Italienisches Raygras,Lolium multiflorum Lam.,www.infoflora.ch/flora/1027300,Zürich,ZH,,408-420,"2682974","1248784","16",A,,,"2020","5","20",,"Info Flora, Ramon Müller",Müller Ramon,"8959806",,,,,,,,,,,,,,,Poaceae,,NEO,"1",
infoflora:242700,Gefässpflanzen,Italienisches Raygras,Lolium multiflorum Lam.,www.infoflora.ch/flora/1027300,Zürich,ZH,,408-420,"2682974","1248784","16",A,,,"2020","5","20",,"Info Flora, Ramon Müller",Müller Ramon,"8972550",,,,,,,,,,,,,,,Poaceae,,NEO,"1",
infoflora:242800,Gefässpflanzen,Englisches Raygras,Lolium perenne L.,www.infoflora.ch/flora/1027310,Zürich,ZH,Quadrant G6,404-474,"2682500","1249500","707",A,nicht selten: die Art kommt im Quadrat mit Populationen von über 200 Individuen und über eine Fläche von mehr als 100 Aren vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"208602",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
infoflora:242800,Gefässpflanzen,Englisches Raygras,Lolium perenne L.,www.infoflora.ch/flora/1027310,Zürich,ZH,Quadrant G7,403-431,"2682500","1248500","707",A,nicht selten: die Art kommt im Quadrat mit Populationen von über 200 Individuen und über eine Fläche von mehr als 100 Aren vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"208603",LC,K,,,,,,,,LC,,,,,Poaceae,,INN,,
infoflora:243750,Gefässpflanzen,Henrys Geissblatt,Lonicera henryi Hemsl.,www.infoflora.ch/flora/1027410,Zürich,ZH,carré kilométrique (Flora der Stadt Zürich) No  G6,404-474,"2682500","1249500","707",A,sehr selten,,"1998",,,,"Info Flora, Elias Landolt",Landolt Elias,"181587",,,,,,,,,,,,,,,Caprifoliaceae,,NLS,"1",
infoflora:243750,Gefässpflanzen,Henrys Geissblatt,Lonicera henryi Hemsl.,www.infoflora.ch/flora/1027410,Zürich,ZH,carré kilométrique (Flora der Stadt Zürich) No  G7,403-431,"2682500","1248500","707",A,sehr selten,,"1998",,,,"Info Flora, Elias Landolt",Landolt Elias,"181588",,,,,,,,,,,,,,,Caprifoliaceae,,NLS,"1",
infoflora:243750,Gefässpflanzen,Henrys Geissblatt,Lonicera henryi Hemsl.,www.infoflora.ch/flora/1027410,Zürich,ZH,Quadrant G7,403-431,"2682500","1248500","707",A,sehr selten: die Art kommt im Quadrat mit weniger als 20 Individuen oder auf einer Fläche von insgesamt weniger als 1 Are vor,,"1998",,,,Flora der Stadt Zürich (Landolt E.),Landolt Elias,"260524",,,,,,,,,,,,,,,Caprifoliaceae,,NLS,"1",
