"","","",".y.","group1","group2","n1","n2","statistic","p"
"1",NaN,NaN,value,rural,urban,233,245,c(W = 13580),1.83e-23
"2",NaN,NaN,value,rural,urban,143,220,c(W = 11239),4.2e-06
"3",NaN,NaN,value,rural,urban,143,220,c(W = 14901),0.396
"4",NaN,NaN,value,rural,urban,143,220,c(W = 19601),7.43e-05
