"","ID","nbsp","PVar","PRic","PEve","PClu"
"1","BERD",8,0.80073972356596,6.40591778852768,0.242728493748532,0.443139521919253
"2","BEUA",11,0.779788336850821,8.57767170535903,0.620437168092704,0.427681523844518
"3","BEUB",41,0.79524836242547,32.6051828594443,0.584920515816057,0.253426990112046
"4","BEUC",28,0.725833024931647,20.3233246980861,0.580743647595515,0.253186085438688
"5","BSRD",14,0.769702156301805,10.7758301882253,0.143621606068551,0.294862753277911
"6","BSRE",13,0.670968423685858,8.72258950791615,0.30356468095696,0.233948309846235
"7","BSRF",15,0.711080078116701,10.6662011717505,0.139496856210795,0.30614420960625
"8","BSUA",39,0.773707201696723,30.1745808661722,0.586238202709216,0.238100384415844
"9","BSUB",36,0.762403706425481,27.4465334313173,0.439215886795931,0.24978020609662
"10","BSUC",46,0.810140909486475,37.2664818363779,0.477094550168652,0.213696521910244
"11","ZHRD",40,0.849038064716349,33.961522588654,0.503807242105157,0.319641621395405
"12","ZHRE",25,0.774169708603006,19.3542427150752,0.556515549508203,0.265915217886246
"13","ZHRF",17,0.77178685505708,13.1203765359704,0.502203129384602,0.402445048539953
"14","ZHUA",61,0.81215664902488,49.5415555905177,0.560886493913106,0.235613507483366
"15","ZHUB",47,0.818505348686102,38.4697513882468,0.491375861219634,0.281740697221822
"16","ZHUC",47,0.810410039752255,38.089271868356,0.46695900299074,0.237705251344959
