"","ID","nbsp","PVar","PRic","PEve","PClu"
"1","BERD",9,0.672957214179677,6.05661492761709,0.180040788927426,0.28912106305127
"2","BEUA",24,0.732675235107233,17.5842056425736,0.401375180382348,0.233675813960677
"3","BEUB",65,0.794526324432045,51.6442110880829,0.617617305603465,0.217457809530701
"4","BEUC",21,0.710655877126385,14.9237734196541,0.130285070675794,0.197081418670177
"5","BSRD",14,0.666337366989924,9.32872313785893,0.0705379677428382,0.348149917206284
"6","BSRE",11,0.458722328108931,5.04594560919824,0.0519640599494251,0.223719193538755
"7","BSRF",26,0.72341128503417,18.8086934108884,0.337513279685482,0.3428261612525
"8","BSUA",31,0.808537976216732,25.0646772627187,0.344643870629045,0.246766383068603
"9","BSUB",35,0.809837453632261,28.3443108771291,0.380588538217265,0.242157384081892
"10","BSUC",58,0.814299385729949,47.229364372337,0.373765433225384,0.278530566430274
"11","ZHRD",36,0.786624992694543,28.3184997370036,0.407410395814762,0.261699005417328
"12","ZHRE",26,0.691170334997313,17.9704287099301,0.288422493281728,0.232461450910801
"13","ZHRF",17,0.75406611285827,12.8191239185906,0.200998919446015,0.458459592760358
"14","ZHUA",35,0.757734771065371,26.520716987288,0.468611008654355,0.274784977616041
"15","ZHUB",49,0.758335203238786,37.1584249587005,0.494308086151435,0.233291017910832
"16","ZHUC",50,0.80011320172186,40.005660086093,0.41550686255191,0.21950267728385
