Taxon,Koordx,Koordy,Jahr,Ordnung,Familie,
Crepis biennis L.,2584476,1197625,2018,,Asteraceae,
Crepis biennis L.,2584476,1197625,2018,,Asteraceae,
Crepis biennis L.,2584476,1197625,2018,,Asteraceae,
Dactylis glomerata L.,2584476,1197625,2018,,Poaceae,
Dactylis glomerata L.,2584476,1197625,2018,,Poaceae,
Daucus carota L.,2584692,1197087,2005,,Apiaceae,
Daucus carota L.,2584006,1197778,2021,,Apiaceae,
Dianthus armeria L.,2584500,1197500,2018,,Caryophyllaceae,
Dryopteris carthusiana (Vill.) H. P. Fuchs,2583500,1197500,2020,,Dryopteridaceae,
Equisetum hyemale L.,2584850,1197010,1996,,Equisetaceae,
Equisetum hyemale L.,2584850,1197010,1996,,Equisetaceae,
Equisetum hyemale L.,2584853,1197212,2020,,Equisetaceae,
Erigeron annuus (L.) Desf.,2584476,1197625,2018,,Asteraceae,
Eupatorium cannabinum L.,2584877,1197272,2020,,Asteraceae,
Euphorbia cyparissias L.,2584692,1197087,2005,,Euphorbiaceae,
Euphorbia helioscopia L.,2583971,1197982,2021,,Euphorbiaceae,
Euphorbia lathyris L.,2583612,1197450,2021,,Euphorbiaceae,
Fagus sylvatica L.,2584850,1197010,1996,,Fagaceae,
Fagus sylvatica L.,2584101,1197919,2021,,Fagaceae,
Festuca gigantea (L.) Vill.,2584820,1197270,1996,,Poaceae,
Festuca pratensis Huds.,2584476,1197625,2018,,Poaceae,
Festuca pratensis Huds.,2584476,1197625,2018,,Poaceae,
Festuca rubra aggr.,2584692,1197087,2005,,Poaceae,
Festuca rubra aggr.,2584476,1197625,2018,,Poaceae,
Fraxinus excelsior L.,2584850,1197010,1996,,Oleaceae,
Fraxinus excelsior L.,2584850,1197010,1996,,Oleaceae,
Fraxinus excelsior L.,2584066,1197818,2021,,Oleaceae,
Galeopsis tetrahit L.,2584850,1197010,1996,,Lamiaceae,
Galium album Mill.,2584692,1197087,2005,,Rubiaceae,
Galium aparine L.,2584850,1197010,1996,,Rubiaceae,
Galium aparine L.,2583346,1197299,2021,,Rubiaceae,
Galium mollugo aggr.,2584476,1197625,2018,,Rubiaceae,
Galium mollugo aggr.,2584476,1197625,2018,,Rubiaceae,
Galium mollugo aggr.,2584476,1197625,2018,,Rubiaceae,
Galium mollugo aggr.,2584476,1197625,2018,,Rubiaceae,
Galium mollugo aggr.,2584476,1197625,2018,,Rubiaceae,
Glechoma hederacea L.,2584692,1197087,2005,,Lamiaceae,
Glechoma hederacea L.,2584016,1197973,2021,,Lamiaceae,
Glechoma hederacea L.,2583856,1197777,2021,,Lamiaceae,
Helictotrichon pubescens (Huds.) Pilg.,2584692,1197087,2005,,Poaceae,
Heracleum sphondylium L. subsp. sphondylium,2584692,1197087,2005,,Apiaceae,
Hippocrepis emerus (L.) Lassen,2584817,1197009,2020,,Fabaceae,
Holcus lanatus L.,2584692,1197087,2005,,Poaceae,
Holcus lanatus L.,2584476,1197625,2018,,Poaceae,
Holcus lanatus L.,2584476,1197625,2018,,Poaceae,
Holcus lanatus L.,2584476,1197625,2018,,Poaceae,
Holcus lanatus L.,2584476,1197625,2018,,Poaceae,
Holcus lanatus L.,2584476,1197625,2018,,Poaceae,
Hypochaeris radicata L.,2584042,1197996,2021,,Asteraceae,
Impatiens glandulifera Royle,2584850,1197010,1996,,Balsaminaceae,
Impatiens glandulifera Royle,2584850,1197010,1996,,Balsaminaceae,
Impatiens noli-tangere L.,2584850,1197010,1996,,Balsaminaceae,
Impatiens noli-tangere L.,2584850,1197010,1996,,Balsaminaceae,
Impatiens parviflora DC.,2583500,1197500,2020,,Balsaminaceae,
Juncus bufonius L.,2583500,1197500,2019,,Juncaceae,
Juncus effusus L.,2583500,1197500,2020,,Juncaceae,
Knautia arvensis (L.) Coult.,2584476,1197625,2018,,Caprifoliaceae,
Knautia arvensis (L.) Coult.,2584476,1197625,2018,,Caprifoliaceae,
Knautia arvensis (L.) Coult.,2584476,1197625,2018,,Caprifoliaceae,
Knautia dipsacifolia Kreutzer subsp. dipsacifolia,2584692,1197087,2005,,Caprifoliaceae,
Lamium galeobdolon (L.) L. subsp. galeobdolon,2584500,1197500,2015,,Lamiaceae,
Lamium galeobdolon subsp. argentatum (Smejkal) J. Duvign.,2583500,1197500,2020,,Lamiaceae,
Lamium galeobdolon subsp. montanum (Pers.) Hayek,2584850,1197010,1996,,Lamiaceae,
Lamium galeobdolon subsp. montanum (Pers.) Hayek,2584850,1197010,1996,,Lamiaceae,
Lamium purpureum L.,2583565,1197422,2021,,Lamiaceae,
Leontodon hispidus L.,2584692,1197087,2005,,Asteraceae,
Leucanthemum vulgare aggr.,2584692,1197087,2005,,Asteraceae,
Leucanthemum vulgare aggr.,2584476,1197625,2018,,Asteraceae,
Leucanthemum vulgare aggr.,2584476,1197625,2018,,Asteraceae,
Leucanthemum vulgare aggr.,2584476,1197625,2018,,Asteraceae,
Lolium perenne L.,2584476,1197625,2018,,Poaceae,
Lonicera periclymenum L.,2583500,1197500,2020,,Caprifoliaceae,
Lonicera periclymenum L.,2583500,1197500,2020,,Caprifoliaceae,
Lonicera periclymenum L.,2583500,1197500,2020,,Caprifoliaceae,
Lonicera xylosteum L.,2584850,1197010,1996,,Caprifoliaceae,
Lotus corniculatus L.,2584692,1197087,2005,,Fabaceae,
Lotus corniculatus L.,2584476,1197625,2018,,Fabaceae,
Lotus corniculatus L.,2584476,1197625,2018,,Fabaceae,
Lotus corniculatus L.,2584476,1197625,2018,,Fabaceae,
Lotus corniculatus L.,2584476,1197625,2018,,Fabaceae,
Luzula campestris (L.) DC.,2584476,1197625,2018,,Juncaceae,
Luzula pilosa (L.) Willd.,2583500,1197500,2020,,Juncaceae,
Lysimachia nemorum L.,2583500,1197500,2020,,Primulaceae,
Lysimachia nummularia L.,2584500,1197500,2015,,Primulaceae,
Lythrum salicaria L.,2583500,1197500,2020,,Lythraceae,
Lythrum salicaria L.,2584409,1197062,2022,,Lythraceae,
Maianthemum bifolium (L.) F. W. Schmidt,2583500,1197500,2020,,Asparagaceae,
Matricaria chamomilla L.,2583500,1197500,2019,,Asteraceae,
Medicago lupulina L.,2584692,1197087,2005,,Fabaceae,
Medicago sativa L.,2584476,1197625,2018,,Fabaceae,
Melampyrum pratense L.,2583500,1197500,2020,,Orobanchaceae,
Melampyrum pratense L.,2583500,1197500,2020,,Orobanchaceae,
Melilotus albus Medik.,2583500,1197500,2020,,Fabaceae,
Molinia arundinacea Schrank,2584877,1197272,2020,,Poaceae,
Molinia arundinacea Schrank,2584861,1197230,2020,,Poaceae,
Myosotis arvensis Hill,2584476,1197625,2018,,Boraginaceae,
Myosotis arvensis Hill,2584476,1197625,2018,,Boraginaceae,
Myosotis arvensis Hill,2584476,1197625,2018,,Boraginaceae,
Myosotis arvensis Hill,2583500,1197500,2019,,Boraginaceae,
Origanum vulgare L.,2584054,1197758,2021,,Lamiaceae,
Ornithogalum umbellatum L.,2584476,1197625,2018,,Asparagaceae,
Ornithogalum umbellatum L.,2584476,1197625,2018,,Asparagaceae,
Papaver rhoeas L.,2583500,1197500,2019,,Papaveraceae,
Paris quadrifolia L.,2584850,1197010,1996,,Melanthiaceae,
Paris quadrifolia L.,2584500,1197500,2015,,Melanthiaceae,
Petasites hybridus (L.) G. Gaertn. & al.,2584820,1197270,1996,,Asteraceae,
Phalaris arundinacea L.,2584820,1197270,1996,,Poaceae,
Picris hieracioides L.,2584476,1197625,2018,,Asteraceae,
Pinus sylvestris L.,2584098,1198011,2020,,Pinaceae,
