City,Family,Genus,Sp2,Sp.merge,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil
Pa,Fabaceae,Lespedeza,thunbergii,Lespedeza thunbergii,E,biotic,3,7,shrub,1.37,1,flag,sigomorph,1,1,0
Pa,Asteraceae,Leucanthemum,adustum,Leucanthemum adustum,N,biotic,2,7,herb,0.3,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Leucanthemum,gaudinii,Leucanthemum gaudinii,N,biotic,6,5,herb,0.25,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Leucanthemum,maximum,Leucanthemum maximum,E,biotic,6,5,herb,80.5,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Leucanthemum,vulgare,Leucanthemum vulgare,N,biotic,6,5,herb,1,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Leucanthemum,x superbum,Leucanthemum x superbum,E,biotic,6,5,herb,0.76,1,dish_bowl,actinomorph,1,1,0
Pa,Apiaceae,Levisticum,officinale,Levisticum officinale,N,biotic,2,7,herb,2,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Liatris,spicata,Liatris spicata,E,biotic,3,7,herb,2,1,brush,no_symmetry,1,1,0
Pa,Iridaceae,Libertia,chilensis,Libertia chilensis,E,biotic,NA,NA,herb,0.93,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Ligularia,dentata,Ligularia dentata,E,biotic,2,6,herb,1.25,1,dish_bowl,actinomorph,1,1,0
Zu,Asteraceae,Ligularia,przewalskii,Ligularia przewalskii,E,biotic,2,8,herb,2,1,dish_bowl,actinomorph,1,1,0
Pa,Oleaceae,Ligustrum,delavayanum,Ligustrum delavayanum,E,biotic,3,5,shrub/tree,1.8,1,stalk_disk,actinomorph,1,1,0
Zu,Oleaceae,Ligustrum,ibota,Ligustrum ibota,E,biotic,3,5,shrub/tree,1.5,1,stalk_disk,actinomorph,1,1,0
Zu,Oleaceae,Ligustrum,japonicum,Ligustrum japonicum,E,biotic,3,6,shrub/tree,3,1,stalk_disk,actinomorph,1,1,0
Pa,Oleaceae,Ligustrum,lucidum,Ligustrum lucidum,E,biotic,3,5,shrub,4.88,1,stalk_disk,actinomorph,1,1,0
Zu,Oleaceae,Ligustrum,ovalifolium,Ligustrum ovalifolium,E,biotic,3,5,shrub/tree,5,1,stalk_disk,actinomorph,1,1,0
Pa,Oleaceae,Ligustrum,sinense,Ligustrum sinense,E,biotic,3,5,shrub/tree,4.5,1,stalk_disk,actinomorph,1,1,0
Zu,Oleaceae,Ligustrum,vulgare,Ligustrum vulgare,N,biotic,3,5,shrub,5,1,stalk_disk,actinomorph,1,1,0
Pa,Liliaceae,Lilium,bulbiferum,Lilium bulbiferum,N,biotic,2,6,herb,0.55,1,dish_bowl,actinomorph,1,1,0
