ID,location,landscape,replicate,bbspecies,bborgan,site,Shannon,NrSpecies,Flowering_duration_cwm,Flowering_start_cwm,growth_form_cwm,structural_blossom_cwm,sugar_concentration_cwm,plant_height_cwm
11_ZHUA_lL,ZH,U,A,B.pascuorum,L,ZH_U,0.40941732313200024,4,4.022238797723631,5.97776120227637,1,4.871526051163047,193.69265084964206,0.9769020387866734
11_ZHUA_pB,ZH,U,A,B.lapidarius,B,ZH_U,1.3583521207841838,6,3.537546641791045,5.823760660980811,1,3.0375799573560767,30.656340960470285,2.8288912579957346
11_ZHUB_lB,ZH,U,B,B.pascuorum,B,ZH_U,0,1,3.0000000000000004,5,1,1,26.25789474,0.4
11_ZHUB_lL,ZH,U,B,B.pascuorum,L,ZH_U,0,1,3,5,1,1,26.25789474,0.4
11_ZHUB_pB,ZH,U,B,B.lapidarius,B,ZH_U,0.25851300369474195,4,5.837383394507392,5.011954329817638,1.1386354074482439,1.0712762407694874,46.16046174998941,1.5578029566655542
11_ZHUB_pL,ZH,U,B,B.lapidarius,L,ZH_U,0.27955384079018786,3,5.917459415177303,5.016952836339926,1,1.016952836339926,45.768332271938874,0.9501839065086185
11_ZHUC_lB,ZH,U,C,B.pascuorum,B,ZH_U,0,1,5,5,1,1,44.5875,0.15
11_ZHUC_pB,ZH,U,C,B.lapidarius,B,ZH_U,1.800070057863091,7,3.6925169207413497,5.160557277500158,1.5763963565057877,2.2631096211019037,34.764914223797916,1.3164637231956489
12_1_BERD_pB,BE,R,D,B.lapidarius,B,BE_R,0.09476380165627232,2,2.0766522674075625,6.961673866296219,1,1.9808369331481095,59.87533812542637,0.2153304534815125
12_1_BERD_pL,BE,R,D,B.lapidarius,L,BE_R,0.6928352517881093,2,3.9500483163606632,6.024975841819668,1,1.5124879209098339,53.16254947576488,0.5900096632721327
12_2_BERD_pB,BE,R,D,B.lapidarius,B,BE_R,0.2723642793046692,3,2.132832183718145,6.876832844574779,1,1.93841642228739,58.52732549145389,0.226566436743629
12_2_BERD_pL,BE,R,D,B.lapidarius,L,BE_R,0.6056140967625697,2,3.88172483071657,5,1,1,32.00651390073182,0.5763449661433141
12_BERD_lB,BE,R,D,B.pascuorum,B,BE_R,0.6140134389311948,2,3.9112687090256877,4.999999999999999,1,1,32.19913239009896,0.5822537418051376
12_BERD_lL,BE,R,D,B.pascuorum,L,BE_R,0,1,3.0000000000000004,5,1,1,26.25789474,0.4
12_BEUA_pB,BE,U,A,B.lapidarius,B,BE_U,1.5814962564792892,9,4.215015940966038,5.4408238410992515,1,2.708961367480428,39.86926516891267,2.6411366732027104
12_BEUB_lB,BE,U,B,B.pascuorum,B,BE_U,1.6035316239359345,9,4.0152175072443175,5.481111446907611,1,1.6066914365966831,38.412527664566376,0.5471369397877374
12_BEUB_lL,BE,U,B,B.pascuorum,L,BE_U,0.44512800277960285,3,5.881576446602278,5,1,1,45.6715069306576,0.8993399796119359
12_BEUB_pB,BE,U,B,B.lapidarius,B,BE_U,1.7861967315583847,10,4.580397359165793,5.253331893626211,1.0162892577281422,1.2752668599987655,39.858618028153266,0.7390201764669584
12_BEUC_lB,BE,U,C,B.pascuorum,B,BE_U,1.5561230142395226,7,4.2161593727390505,5.320714081402588,1,1.6095266939242514,147.3049449545864,0.5801028048390624
12_BEUC_pB,BE,U,C,B.lapidarius,B,BE_U,0.3521327266881076,4,5.812630988936005,5.029877662426281,1,1.051493883121314,46.50914009292209,0.9626352536920604
12_BEUC_pL,BE,U,C,B.lapidarius,L,BE_U,0.14652175564352427,2,5.966554646766661,4.999999999999999,1,1,45.77599810472201,0.9715714497516617
12_BSRD_lB,BS,R,D,B.pascuorum,B,BS_R,0.06667315734746716,2,5.962859180762177,5,1,1,45.57497469933105,0.9925718361524354
12_BSRD_pB,BS,R,D,B.lapidarius,B,BS_R,1.0730873758255255,7,5.442499526911951,5.091224892541429,1,1.3011324181400568,44.35028378399687,1.2009340109756426
12_BSRE_lB,BS,R,E,B.pascuorum,B,BS_R,0.88180866025356,5,3.1759762348196827,5.380273668980591,1,1.3547999815296523,29.322862916468495,0.6268327971801936
12_BSRE_pB,BS,R,E,B.lapidarius,B,BS_R,0,1,6,5,1,1,45.81712329,1
12_BSRF_lB,BS,R,F,B.pascuorum,B,BS_R,1.0713158778054468,6,3.43463687150838,5.3152163620869235,1,1.3445696430262288,34.307095978389256,0.5035526938736862
12_BSRF_lL,BS,R,F,B.pascuorum,L,BS_R,0.664226506651839,6,3.958038518294298,5.930871391274737,1,2.0902796170872904,45.669928644677796,0.6197813008437703
12_BSRF_pB,BS,R,F,B.lapidarius,B,BS_R,0.2954415937010667,3,3.189351516030756,5,1,1,27.599785947640218,0.42467793413608007
12_BSUA_lB,BS,U,A,B.pascuorum,B,BS_U,0.4409470659441202,3,4.984130578685154,5.066439048183117,1,1.0664390481831167,44.77453163589607,0.21623784970212173
12_BSUA_lL,BS,U,A,B.pascuorum,L,BS_U,0.09819924978067314,2,5.02004115803751,5,1,1,44.61214307468149,0.1670349843318834
12_BSUA_pB,BS,U,A,B.lapidarius,B,BS_U,1.257706715065616,8,5.619828736654804,5.11045002965599,1,2.6794928825622772,33.230061594013065,0.9146231835705811
12_BSUA_pL,BS,U,A,B.lapidarius,L,BS_U,0,1,6,5.000000000000001,1,2,NA,1
12_BSUB_lB,BS,U,B,B.pascuorum,B,BS_U,1.8446325950508926,10,3.9167512272714804,5.6733538107122286,1.1073279763047474,2.0888023475852235,54.37694632209842,1.85991347393248
12_BSUB_pB,BS,U,B,B.lapidarius,B,BS_U,1.046623744499829,6,3.9101475189986594,5.260365444792132,1,4.937891148860081,704.5186168226476,1.3148393495753241
12_BSUB_pL,BS,U,B,B.lapidarius,L,BS_U,0.6293544878741153,4,3.797267867748961,4.980852447888679,1,5.77353847894335,45.81712329,1.3107659020844533
12_BSUC_lB,BS,U,C,B.pascuorum,B,BS_U,0.7193232534923797,4,4.812725817793836,5.212541526225175,1,1.3092703508814472,79.7215692673421,0.2626470088993429
12_BSUC_pB,BS,U,C,B.lapidarius,B,BS_U,0.1616776420747259,3,4.997440081017216,5,1,1,44.40264763975048,0.17015021942162709
12_ZHRD_lB,ZH,R,D,B.pascuorum,B,ZH_R,0.29455330297405324,2,3.1731602962289096,5,1,1,27.84487467829029,0.3783549629713864
12_ZHRD_pB,ZH,R,D,B.lapidarius,B,ZH_R,1.5604947591471334,8,4.4021452662231155,5.253506330746974,1,1.1125143095960603,273.1471883857982,0.716601854070292
12_ZHRD_pL,ZH,R,D,B.lapidarius,L,ZH_R,1.0313782613460947,6,5.543350643486114,5.051516519906675,1,1.019914288319504,73.55778025157971,0.7479961616617746
12_ZHRE_lB,ZH,R,E,B.pascuorum,B,ZH_R,1.2532362671939583,8,5.309088900854629,5.220547018459457,1,1.197917961037706,46.09412394285552,0.8795786218227508
12_ZHRE_lL,ZH,R,E,B.pascuorum,L,ZH_R,0.8446676011647679,4,5.560095742862027,5.116954465150738,1,1.0680002279591951,47.46657920734541,0.8763059212400978
12_ZHRE_pB,ZH,R,E,B.lapidarius,B,ZH_R,0,1,5.999999999999999,5,1,1,45.81712329,1
12_ZHRF_lB,ZH,R,F,B.pascuorum,B,ZH_R,0.2532517006797536,2,2.2794014369834157,7.790448922262439,1,2.8602992815082926,45.81712329,1.930149640754146
12_ZHRF_pB,ZH,R,F,B.lapidarius,B,ZH_R,0,1,6,5,1,1,45.81712329,1
12_ZHUA_lB,ZH,U,A,B.pascuorum,B,ZH_U,1.7075555443803074,7,3.6908267758973814,5.517020588552334,1.1112859760698501,2.428457475476987,35.20235021244131,0.9067882936294064
12_ZHUA_pB,ZH,U,A,B.lapidarius,B,ZH_U,0.5169667494935978,4,4.232491496826374,5.85928921502986,1,2.7098242040238625,6.127951888875167,0.7271590894059443
12_ZHUA_pL,ZH,U,A,B.lapidarius,L,ZH_U,0.5833167779404175,5,4.1196243523316065,5.901230569948186,1,2.7694696311017264,3.956385524901556,0.6970252142590982
12_ZHUB_lB,ZH,U,B,B.pascuorum,B,ZH_U,1.021660737649691,6,5.60543763627464,4.889979086014329,1,1.3806567881457747,48.60089348839325,0.9015640991411917
12_ZHUB_lL,ZH,U,B,B.pascuorum,L,ZH_U,0.7181100834641543,4,5.835088961671239,4.915788852497713,1,1.2641704287273907,44.886942553144465,0.9052196748399279
12_ZHUB_pB,ZH,U,B,B.lapidarius,B,ZH_U,0.8463124172116275,5,5.7583060267949735,5.048073333609855,1.0675681280849476,1.135136256169895,45.75377512319061,0.9729727487660209
12_ZHUB_pL,ZH,U,B,B.lapidarius,L,ZH_U,0.07109893863440145,2,6.000000000000001,5,1,1,45.79277315540571,1
12_ZHUC_lB,ZH,U,C,B.pascuorum,B,ZH_U,0.06514501454004523,2,5.012032458034408,5,1,1,44.60229539063506,0.16022758932924708
12_ZHUC_lL,ZH,U,C,B.pascuorum,L,ZH_U,0,1,5.000000000000001,5.000000000000001,1,1,44.5875,0.15
12_ZHUC_pB,ZH,U,C,B.lapidarius,B,ZH_U,1.3694728434597903,6,3.9461992809450446,5.2351052901900355,1.0358956799634764,1.2816155909376248,34.48228648197541,0.6666709467556926
12_ZHUC_pL,ZH,U,C,B.lapidarius,L,ZH_U,0.5435636620922596,3,5.526486667644164,5,1,1,42.87864344212124,0.8870258268574183
13_BERD_lB,BE,R,D,B.pascuorum,B,BE_R,0.12148328946250775,2,3.078773688676577,5,1,1,26.771478933517237,0.41575473773531546
13_BERD_lL,BE,R,D,B.pascuorum,L,BE_R,0,1,3,5,1,1,26.25789474,0.4
