plant species;plant family;plant genus;additional information;community studied;literature source 1;link 1;literature source 2;link 2;literature source 3;link 3;reference;class;subclass;order;alliance;suballiance;community;continent/region;country;location name;decimal longitude;absolute latitude;decimal latitude;altitude [meters above sea level];year of the  data collection;mean yearly air temperature in degrees Celsius;January - mean monthly temp. [degrees Celsius];February - mean monthly temp. [degrees Celsius];March - mean monthly temp. [degrees Celsius];April - mean monthly temp. [degrees Celsius];May - mean monthly temp. [degrees Celsius];June - mean monthly temp. [degrees Celsius];July - mean monthly temp. [degrees Celsius];August - mean monthly temp. [degrees Celsius];September - mean monthly temp. [degrees Celsius];October - mean monthly temp. [degrees Celsius];November - mean monthly temp. [degrees Celsius];December - mean monthly temp. [degrees Celsius];total yearly  pecipitation in mm;January - total precipitation;February - total precipitation;March - total precipitation;April - total precipitation;May - total precipitation;June - total precipitation;July - total precipitation;August - total precipitation;September - total precipitation;October - total precipitation;November - total precipitation;December - total precipitation;flowering start;flowering end;flowering peak;flowering peak 2 (if occured);flowering lenght;total number of plants per m^2;total number of trees examined;total number of flowers per m^2;total number of inflorescenses per m^2;total number of flowers per m^2 of crown surface;total number of inflorescenses per m^2 of crown surface;total number of flowers per a single tree;total number of flowers per plant;total number of inflorescenses per a single tree;total number of inflorescenses per plant;tree age;mean number of flowering flowers per m^2 per day;peak number of flowering flowers per m^2;flower longevity [days];total nectar in µg per flower;total nectar in µL per flower;nectar in µg/flower/day ;nectar in µL/flower/day ;nectar in µg/inflorescence/day ;sugar concentration % in nectar;total sugar in µg per flower;sugar in µg/flower/day;total sugar in mg per inflorescence;sugar in µg/inflorescence/day;sugar yield in kg/ha per 1 year;sugar yield in g per tree per 1 year;sugar yield in g per 1 m^3 of the tree crown;honey yield in kg/ha per 1 year;honey yield from 1 flower in mg per 1 year;honey yield in g per 1 m^3 of the tree crown;honey yield in kg/tree per 1 year;total pollen yield per 1 year in kg/ha;total pollen yield per 1 year in kg per a single tree;total pollen yield per 1 year in number of grains per a single tree;total pollen in µg/flower;total pollen in µL/flower;total pollen per flower (the number of grains);total pollen in µg/inflorescence;total pollen in µL/inflorescence;total pollen in µg/plant/year;total pollen in number of grains per inflorescence;pollen in µg/flower/day ;pollen in µL/flower/day ;pollen in µL/inflorescence/day ;yearly pollen yield in number of grains per m^2 of the  crown;yearly pollen yield in g per 1 m^3 of the tree crown
Capparis spinosa;Capparaceae;Capparis;;natural phytocenosis (Mediterranean/phrygana);Petanidou et al. 1996;https://link.springer.com/article/10.1007/BF00985919;;;;;Petanidou, T., Van Laere, A. J., Smets, E. 1996. Change in floral nectar components from fresh to senescent flowers of Capparis spinosa (Capparidaceae ), a nocturnally flowering Mediterranean shrub. Plant Systematics and Evolution. 199, pp. 49-92.;;;;;;;Europe;Greece;Daphni;23.63;38.00;38.00;175;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.21;;;;65.49;;;;;;;;;;;;;;;;;;;;;;;;;;
Capparis spinosa;Capparaceae;Capparis;v. inermis;botanical garden;Petanidou et al. 2006;https://onlinelibrary.wiley.com/doi/full/10.1111/j.2006.0030-1299.14487.x;;;;;Petanidou, T., Van Laere, A., Ellis, N., Smets, E. 2006. What shapes amino acid and sugar composition in Mediterranean floral nectars? Oikos. 115, pp. 155-169.;;;;;;;Europe;Greece;Athens University;23.70;38.00;38.00;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capsella bursa?pastoris;Brassicaceae;Capsella;;urban green area;Hicks et al. 2016;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158117#sec010;;;;;Hicks, D. M., Ouvrard, P., Baldock, K. C. R., Baude, M., Goddard, M. A., Kunin, W. E., Mitschunas, N., Memmott, J., Morse, H., Nikolitsi, M., Osgathorpe, L. M., Potts, S. G., Robertson, K. M., Scott, A. V., Sinclair, F., Westbury, D. B., Stone, G. N. 2016. Food for pollinators: Quantifying the nectar and pollen resources of urban flower meadows. 11, pp. 1-37.;;;;;;;Europe;United Kingdom;Edinburgh;-3.19;55.94;55.94;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;9.05;;;;;;;;;;;;;;0.00;;;;;;;;;;
Capsella bursa-pastoris;Brassicaceae;Capsella;;natural phytocenosis (grassland);Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;;;;;;;;;;;;;;0.00;;;;;;;;1.44;;;;;;;;;;;;;;;;;;;;;
Capsella bursa-pastoris;Brassicaceae;Capsella;;urban green area;Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;980;;;;;;;;;;;;;;0.70;;;;;;;;1.44;;;;;;;;;;;;;;;;;;;;;
Capsella bursa-pastoris;Brassicaceae;Capsella;modelled values;modelled;Baude et al. 2016;https://www.nature.com/articles/nature16532;;;;;Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;1;365;182;;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capsella bursa-pastoris;Brassicaceae;Capsella;;natural phytocenosis (ruderal);Denisow 2011;https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89;;;;;Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.;;;;;;;Europe;Poland;Lublin;22.57;51.217;51.22;195;2002-2006;7.3;-3.6;-2.9;1.0;7.5;13.0;16.2;17.8;17.2;12.6;7.9;2.5;-1.3;550.9;21.7;24.8;26.3;40.2;57.7;65.8;83.5;68.6;51.6;40.1;39.1;31.5;;;;;164.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;
Capsella bursa-pastoris;Brassicaceae;Capsella;;natural phytocenosis (ruderal);Denisow 2011;https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89;;;;;Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.;Stellarietea mediae;;Sisymbretalia;Sisymbrion officinalis;;Sisymbrietum loeselii in variant with Onopordum acanthium;Europe;Poland;Lublin area;22.00;51;51.00;;2002-2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.32;;;;;;;;;;;;;;
Capsella bursa-pastoris;Brassicaceae;Capsella;;natural phytocenosis (Mediterranean/phrygana);Petanidou et al. 1995c;https://www.semanticscholar.org/paper/Constraints-on-flowering-phenology-in-a-phryganic-Petanidou-Ellis/1efae532e33460db1f31cd5c0729de298e6935a5;;;;;Petanidou, T., Ellis, W. N., Margaris, N. S., Vokou, D. 1995. Contraints on flowering phenology in a phryganic (East Mediterranean shrub) community. American Journal of Botany. 82, pp. 607-620.;;;;;;;Europe;Greece;Daphni;23.63;38.00;38.00;175;1983-1987;22.3;;;;;;;;;;;;;326.8;;;;;;;;;;;;;52;97;;;46.0;;;;;;;;;;;;;;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capsicum annuum;Solanaceae;Capsicum;data collected in the literature search in 2017-2018;unknown;Pamminger et al. 2019;https://peerj.com/articles/6329/;;;;;Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.30;;;;;;;;;;;;;;;;;;;;;;;;;;
Capsicum annuum;Solanaceae;Capsicum;data collected in the literature search in 2017-2018;unknown;Pamminger et al. 2019;https://peerj.com/articles/6329/;;;;;Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.50;;;;;;;;;;;;;;;;;;;;;;;;;;
Capsicum annuum;Solanaceae;Capsicum;data collected in the literature search in 2017-2018;unknown;Pamminger et al. 2019;https://peerj.com/articles/6329/;;;;;Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.70;;;;;;;;;;;;;;;;;;;;;;;;;;
Capsicum annuum;Solanaceae;Capsicum;data collected in the literature search in 2017-2018;unknown;Pamminger et al. 2019;https://peerj.com/articles/6329/;;;;;Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.30;;;;;;;;;;;;;;;;;;;;;;;;;;
Caragana arborescens;Fabaceae;Caragana;;urban green area;Stawiarz & Wróblewska 2014;https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2014.033;;;;;Stawiarz, E., Wróblewska, A. 2014. Flowering of siberian peashrub (Caragana arborescens Lam.) and its forage value to pollinating insects. Acta Agrobotanica. 67, pp. 13-20.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;2010;;;;;9.4;14.5;;;;;;;;;;;;8.2;52.2;;;;;;;;120;142;;;23.0;;;;;;;;;;;;;;6.8;4560;;;;;40.10;1827.00;;;;;;;;;;;;;;444.0;;;;;;;;;;;
Caragana arborescens;Fabaceae;Caragana;;urban green area;Stawiarz & Wróblewska 2014;https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2014.033;;;;;Stawiarz, E., Wróblewska, A. 2014. Flowering of siberian peashrub (Caragana arborescens Lam.) and its forage value to pollinating insects. Acta Agrobotanica. 67, pp. 13-20.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;2011;;;;;10.2;14.3;;;;;;;;;;;;10.0;14.1;;;;;;;;123;147;;;25.0;;;;;;;;;;;;;;5.8;4780;;;;;59.10;2731.00;;;;;;;;;;;;;;446.0;;;;;;;;;;;
Caragana arborescens;Fabaceae;Caragana;;urban green area;Szklanowska 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842676;;;;;Szklanowska, K. 1978. Nektarowanie i wydajnoœæ miodowa niektórych drzew i krzewów w warunkach Polski [Nectar secretion and productiveness of honey of some trees and bushes in condition of Poland]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 117-128;;;;;;;Europe;Poland;;18.00;53.00;53.00;;1966-1969;;;;;;;;;;;;;;;;;;;;;;;;;;;121;176;;;56.0;;;;;3000;1000;;;;;;;;;;;5400.00;;;45.60;;2489.00;;;;;;;10.85;;;;;;;;;;;;;;;;;
Cardamine hirsuta/flexuosa;Brassicaceae;Cardamine;;urban green area;Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;318;;;;;;;;;;;;;;4.50;;;;;;;;14.26;;;;;;;;;;;;;;;;;;;;;
Cardamine hirsuta/flexuosa;Brassicaceae;Cardamine;modelled values;modelled;Baude et al. 2016;https://www.nature.com/articles/nature16532;;;;;Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;91;243;167;;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardamine pratensis;Brassicaceae;Cardamine;population 1;natural phytocenosis (grassland);Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;;;;;;;;;;;;;;46.16;;;;;;;;51.14;;;;;;;;;;;;;;;;;;;;;
Cardamine pratensis;Brassicaceae;Cardamine;population 2;natural phytocenosis (grassland);Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;;;;;;;;;;;;;;71.19;;;;;;;;51.14;;;;;;;;;;;;;;;;;;;;;
Cardamine pratensis;Brassicaceae;Cardamine;modelled values;modelled;Baude et al. 2016;https://www.nature.com/articles/nature16532;;;;;Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;91;212;151;;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardamine pratensis;Brassicaceae;Cardamine;;natural phytocenosis (various or unknown phytocenoses);Raine & Chittka 2007;https://www.academia.edu/13248880/Nectar_Production_Rates_of_75_Bumblebee-visited_Flower_Species_in_a_German_Flora_Hymenoptera_Apidae_Bombus_terrestris_;;;;;Raine, N., Chittka, L. 2007. Nectar production rates of 75 bumblebee-visited flower species in a German flora (Hymenoptera: Apidae: Bombus terrestris). Entomologia Generalis. 30, pp. 191-192.;;;;;;;Europe;Germany;Wurzburg;10.00;49.79;49.79;;1999-2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;745.00;;;;;;;;;;;;;;;;;;;;;;;;
Cardamine pratensis;Brassicaceae;Cardamine;;natural phytocenosis (meadow);Warakomska 1972;https://agris.fao.org/agris-search/search.do?recordID=US201303269548;;;;;Warakomska, Z. 1972.  Badania nad wydajnoœci¹ py³kow¹ roœlin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90;;;;;;;Europe;Poland;Lublin;22.57;51.217;51.22;195;1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.50;;;805.0;;;;;;;;;;;
Cardaria draba;Brassicaceae;Cardaria;;natural phytocenosis (ruderal);Denisow 2011;https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89;;;;;Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.;;;;;;;Europe;Poland;Lublin;22.57;51.217;51.22;195;2002-2006;7.3;-3.6;-2.9;1.0;7.5;13.0;16.2;17.8;17.2;12.6;7.9;2.5;-1.3;550.9;21.7;24.8;26.3;40.2;57.7;65.8;83.5;68.6;51.6;40.1;39.1;31.5;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.0;;;;;;;;;;;
Cardaria draba;Brassicaceae;Cardaria;;natural phytocenosis (ruderal);Denisow 2011;https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89;;;;;Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.;Agropyretea intermedio-repentis;;Agropyretalia intermedio-repentis;Convolvulo-Agropyrion repentis;;Cardario drabae-Agropyretum repentis;Europe;Poland;Lublin area;22.00;51;51.00;;2002-2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.40;;;;;;;;;;;;;;
Cardaria draba;Brassicaceae;Cardaria;;natural phytocenosis (Mediterranean/phrygana);Petanidou et al. 1995c;https://www.semanticscholar.org/paper/Constraints-on-flowering-phenology-in-a-phryganic-Petanidou-Ellis/1efae532e33460db1f31cd5c0729de298e6935a5;;;;;Petanidou, T., Ellis, W. N., Margaris, N. S., Vokou, D. 1995. Contraints on flowering phenology in a phryganic (East Mediterranean shrub) community. American Journal of Botany. 82, pp. 607-620.;;;;;;;Europe;Greece;Daphni;23.63;38.00;38.00;175;1983-1987;22.3;;;;;;;;;;;;;326.8;;;;;;;;;;;;;88;132;;;45.0;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carduus acanthoides;Asteraceae;Carduus;;natural phytocenosis (ruderal);Warakomska 1972;https://agris.fao.org/agris-search/search.do?recordID=US201303269548;;;;;Warakomska, Z. 1972.  Badania nad wydajnoœci¹ py³kow¹ roœlin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90;;;;;;;Europe;Poland;Lublin;22.57;51.217;51.22;195;1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;780.30;;;532.0;;;63340.0;;;;;;;;
Carduus crispus;Asteraceae;Carduus;;natural phytocenosis (ruderal);Denisow 2011;https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89;;;;;Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.;;;;;;;Europe;Poland;Lublin;22.57;51.217;51.22;195;2002-2006;7.3;-3.6;-2.9;1.0;7.5;13.0;16.2;17.8;17.2;12.6;7.9;2.5;-1.3;550.9;21.7;24.8;26.3;40.2;57.7;65.8;83.5;68.6;51.6;40.1;39.1;31.5;;;;;67.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730.0;;;;;;;;
Carduus crispus;Asteraceae;Carduus;;natural phytocenosis (ruderal);Denisow 2011;https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89;;;;;Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.;Artemisietea vulgaris;Artemisietea vulgaris;Onopordetalia acanthii;Anopordion acanthii;Dauco-Melilotenion;Community with Berteroa incana;Europe;Poland;Lublin area;22.00;51;51.00;;2002-2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.42;;;;;;;;;;;;;;
Carduus crispus;Asteraceae;Carduus;;natural phytocenosis (ruderal);Denisow 2011;https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89;;;;;Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.;Artemisietea vulgaris;Artemisietea vulgaris;Onopordetalia acanthii;Onopordion acanthii;Dauco-Melilotenion;Echio-Melilotetum;Europe;Poland;Lublin area;22.00;51;51.00;;2002-2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.08;;;;;;;;;;;;;;
Carduus pycnocephalus;Asteraceae;Carduus;;natural phytocenosis (Mediterranean/phrygana);Petanidou et al. 1995c;https://www.semanticscholar.org/paper/Constraints-on-flowering-phenology-in-a-phryganic-Petanidou-Ellis/1efae532e33460db1f31cd5c0729de298e6935a5;;;;;Petanidou, T., Ellis, W. N., Margaris, N. S., Vokou, D. 1995. Contraints on flowering phenology in a phryganic (East Mediterranean shrub) community. American Journal of Botany. 82, pp. 607-620.;;;;;;;Europe;Greece;Daphni;23.63;38.00;38.00;175;1983-1987;22.3;;;;;;;;;;;;;326.8;;;;;;;;;;;;;100;148;;;49.0;;;;;;;;;;;;;;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carica mexicana = Jacaratia mexicana;Caricaceae;Carica;male flowers;natural phytocenosis (various or unknown phytocenoses);Primack 1985;https://www.annualreviews.org/doi/abs/10.1146/annurev.es.16.110185.000311;;;;;Primack, R. 1985. Longevity of individual flowers. Annual Review of Ecology and Systematics. 16, pp. 15-37.;;;;;;;Central America;;;-89.00;14.00;14.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carica mexicana = Jacaratia mexicana;Caricaceae;Carica;female flowers;natural phytocenosis (various or unknown phytocenoses);Primack 1985;https://www.annualreviews.org/doi/abs/10.1146/annurev.es.16.110185.000311;;;;;Primack, R. 1985. Longevity of individual flowers. Annual Review of Ecology and Systematics. 16, pp. 15-37.;;;;;;;Central America;;;-89.00;14.00;14.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carlina vulgaris;Asteraceae;Carlina;ssp. vulgaris;natural phytocenosis (Mediterranean/phrygana);Petanidou & Smets 1995;https://www.apidologie.org/articles/apido/abs/1995/01/Apidologie_0044-8435_1995_26_1_ART0006/Apidologie_0044-8435_1995_26_1_ART0006.html;;;;;Petanidou, T. Smets, E. 1995. The potential of marginal lands for bees and apiculture: nectar secretion in Mediterranean shrublands. 26, pp. 39-52. ;;;;;;;Europe;Greece;Daphni;23.63;38.00;38.00;175;1992-1994;22.3;;;;;;;;;;;;;370.0;;;;;;;;;;;;;;;215;;;;;;;;;;;;;;;;;;0.16;;;;55.46;111.00;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;Betulaceae;Carpinus;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Peucedano-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
