plant species;plant family;plant genus;additional information;community studied;literature source 1;link 1;literature source 2;link 2;literature source 3;link 3;reference;class;subclass;order;alliance;suballiance;community;continent/region;country;location name;decimal longitude;absolute latitude;decimal latitude;altitude [meters above sea level];year of the  data collection;mean yearly air temperature in degrees Celsius;January - mean monthly temp. [degrees Celsius];February - mean monthly temp. [degrees Celsius];March - mean monthly temp. [degrees Celsius];April - mean monthly temp. [degrees Celsius];May - mean monthly temp. [degrees Celsius];June - mean monthly temp. [degrees Celsius];July - mean monthly temp. [degrees Celsius];August - mean monthly temp. [degrees Celsius];September - mean monthly temp. [degrees Celsius];October - mean monthly temp. [degrees Celsius];November - mean monthly temp. [degrees Celsius];December - mean monthly temp. [degrees Celsius];total yearly  pecipitation in mm;January - total precipitation;February - total precipitation;March - total precipitation;April - total precipitation;May - total precipitation;June - total precipitation;July - total precipitation;August - total precipitation;September - total precipitation;October - total precipitation;November - total precipitation;December - total precipitation;flowering start;flowering end;flowering peak;flowering peak 2 (if occured);flowering lenght;total number of plants per m^2;total number of trees examined;total number of flowers per m^2;total number of inflorescenses per m^2;total number of flowers per m^2 of crown surface;total number of inflorescenses per m^2 of crown surface;total number of flowers per a single tree;total number of flowers per plant;total number of inflorescenses per a single tree;total number of inflorescenses per plant;tree age;mean number of flowering flowers per m^2 per day;peak number of flowering flowers per m^2;flower longevity [days];total nectar in µg per flower;total nectar in µL per flower;nectar in µg/flower/day ;nectar in µL/flower/day ;nectar in µg/inflorescence/day ;sugar concentration % in nectar;total sugar in µg per flower;sugar in µg/flower/day;total sugar in mg per inflorescence;sugar in µg/inflorescence/day;sugar yield in kg/ha per 1 year;sugar yield in g per tree per 1 year;sugar yield in g per 1 m^3 of the tree crown;honey yield in kg/ha per 1 year;honey yield from 1 flower in mg per 1 year;honey yield in g per 1 m^3 of the tree crown;honey yield in kg/tree per 1 year;total pollen yield per 1 year in kg/ha;total pollen yield per 1 year in kg per a single tree;total pollen yield per 1 year in number of grains per a single tree;total pollen in µg/flower;total pollen in µL/flower;total pollen per flower (the number of grains);total pollen in µg/inflorescence;total pollen in µL/inflorescence;total pollen in µg/plant/year;total pollen in number of grains per inflorescence;pollen in µg/flower/day ;pollen in µL/flower/day ;pollen in µL/inflorescence/day ;yearly pollen yield in number of grains per m^2 of the  crown;yearly pollen yield in g per 1 m^3 of the tree crown
Acacia gerrardii;Fabaceae;Acacia;;natural phytocenosis (subtropical oasis);Adgaba et al. 2017;http://dx.doi.org/10.1016/j.sjbs.2016.05.002;;;;;Adgaba, N., Al-Ghamdi, A., Tadesse, Y., Getachew, A., Awad, A. M., Ansari, M. J., Owayss, A. A., Mohammed, A. E. A., Alqarni, A. S. 2017. Nectar secretion dynamics and honey production potentials of some major honey plants in Saudi Arabia. Saudi Journal of Biological Sciences. 24, pp. 180-191.;;;;;;;Asia;Saudi Arabia;Rawdhat-Khoraim;47.29;25.38;25.38;570;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;152;227;;;76.0;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;511.0;;;;;;;;;;;;;;;;;;
Acacia johnwoodii;Fabaceae;Acacia;;natural phytocenosis (forest);Adgaba et al. 2017;http://dx.doi.org/10.1016/j.sjbs.2016.05.002;;;;;Adgaba, N., Al-Ghamdi, A., Tadesse, Y., Getachew, A., Awad, A. M., Ansari, M. J., Owayss, A. A., Mohammed, A. E. A., Alqarni, A. S. 2017. Nectar secretion dynamics and honey production potentials of some major honey plants in Saudi Arabia. Saudi Journal of Biological Sciences. 24, pp. 180-191.;;;;;;;Asia;Saudi Arabia;Wadi-Alkhitan;42.00;20.00;20.00;1100;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;274;334;;;61.0;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;625.0;;;;;;;;;;;;;;;;;;
Acacia oerfota;Fabaceae;Acacia;;natural phytocenosis (forest);Adgaba et al. 2017;http://dx.doi.org/10.1016/j.sjbs.2016.05.002;;;;;Adgaba, N., Al-Ghamdi, A., Tadesse, Y., Getachew, A., Awad, A. M., Ansari, M. J., Owayss, A. A., Mohammed, A. E. A., Alqarni, A. S. 2017. Nectar secretion dynamics and honey production potentials of some major honey plants in Saudi Arabia. Saudi Journal of Biological Sciences. 24, pp. 180-191.;;;;;;;Asia;Saudi Arabia;Wadi-Alkhitan;42.00;20.00;20.00;1100;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;60;120;;;61.0;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;120.0;;;;;;;;;;;;;;;;;;
Acacia origena;Fabaceae;Acacia;;natural phytocenosis (forest);Adgaba et al. 2017;http://dx.doi.org/10.1016/j.sjbs.2016.05.002;;;;;Adgaba, N., Al-Ghamdi, A., Tadesse, Y., Getachew, A., Awad, A. M., Ansari, M. J., Owayss, A. A., Mohammed, A. E. A., Alqarni, A. S. 2017. Nectar secretion dynamics and honey production potentials of some major honey plants in Saudi Arabia. Saudi Journal of Biological Sciences. 24, pp. 180-191.;;;;;;;Asia;Saudi Arabia;Beljurashi;42.00;20.00;20.00;2200;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;122;181;;;60.0;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;325.0;;;;;;;;;;;;;;;;;;
Acacia salicina;Fabaceae;Acacia;;unknown;Keasar & Shmida 2009;https://www.tandfonline.com/doi/abs/10.1560/IJPS.57.1-2.49;;;;;Keasar, T., Shmida, A. 2009. An evaluation of Israeli forestry trees and shrubs as potential forage plants for bees. Israel Journal of Plant Sciences. 57, pp. 49-64.;;;;;;;Asia;Israel;;34.82;31.05;31.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1067;;;;;;;;0.00;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acacia tortilis;Fabaceae;Acacia;;natural phytocenosis (forest);Adgaba et al. 2017;http://dx.doi.org/10.1016/j.sjbs.2016.05.002;;;;;Adgaba, N., Al-Ghamdi, A., Tadesse, Y., Getachew, A., Awad, A. M., Ansari, M. J., Owayss, A. A., Mohammed, A. E. A., Alqarni, A. S. 2017. Nectar secretion dynamics and honey production potentials of some major honey plants in Saudi Arabia. Saudi Journal of Biological Sciences. 24, pp. 180-191.;;;;;;;Asia;Saudi Arabia;Wadi-Alkhitan;42.00;20.00;20.00;1100;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;60;135;;;76.0;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;223.0;;;;;;;;;;;;;;;;;;
Acanthus spinosus;Acanthaceae;Acanthus;;natural phytocenosis (Mediterranean/phrygana);Petanidou et al. 1995c;https://www.semanticscholar.org/paper/Constraints-on-flowering-phenology-in-a-phryganic-Petanidou-Ellis/1efae532e33460db1f31cd5c0729de298e6935a5;;;;;Petanidou, T., Ellis, W. N., Margaris, N. S., Vokou, D. 1995. Contraints on flowering phenology in a phryganic (East Mediterranean shrub) community. American Journal of Botany. 82, pp. 607-620.;;;;;;;Europe;Greece;Daphni;23.63;38.00;38.00;175;1983-1987;22.3;;;;;;;;;;;;;326.8;;;;;;;;;;;;;129;155;;;27.0;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer campestre;Sapindaceae;Acer;modelled values;modelled;Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2011-2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243.75;;;;;;;;;;;;;;;;;;;;;
Acer campestre;Sapindaceae;Acer;modelled values;modelled;Baude et al. 2016;https://www.nature.com/articles/nature16532;;;;;Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;121;181;151;;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer ginnala;Sapindaceae;Acer;;field experiment;Jab³oñski & Ko³towski 1996;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-c9396b79-acd4-4029-a5bb-092ffd5711a3?q=bwmeta1.element.agro-number-e0f942b2-377a-43a1-8afb-fcddb30080ef;6&qt=CHILDREN-STATELESS";;;;;Jab³oñski, B., Ko³towski, Z. 1996. Nektarowanie i wydajnoœæ miodowa roœlin miododajnych w warunkach Polski. Czêœæ IX [The nectar secretion and honey efficiency of honey plants growing under Poland's conditions. Part IX]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 40, pp. 59-65. ;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;135;154;;;20.0;0.13;;;;;;116300;;;;;;;;;;;;;50.00;245.00;;;;35.00;;;45.0;;;;;;;;;;;;;;;;;;
