ID,Shannon,NrSpecies,location,landscape,replicate,bbspecies,intertegular_distance,glossa,prementum,proboscis_length,proboscis_ratio,fore_wing_length,fore_wing_ratio,corbicula_length,corbicula_ratio
25_BSUB_l,0.31265087813303344,4,BS,urban,B,B.pascuorum,3.14,4.75,2.17,6.92,2.2,9.95,3.17,3.34,1.06
25_BSUB_p,0,1,BS,urban,B,B.lapidarius,2.99,6.33,2.54,8.87,2.97,9.57,3.2,3.2,1.07
25_BSUC_l,1.2280021005925752,7,BS,urban,C,B.pascuorum,3.18,4.96,2.16,7.12,2.24,9.5,2.99,3.12,0.98
25_BSUC_p,0.21177065002242945,2,BS,urban,C,B.lapidarius,3.39,6.81,2.7,9.51,2.81,10.55,3.11,3.57,1.05
25_ZHRD_l,0,1,ZH,rural,D,B.pascuorum,3.92,4.83,2.64,7.47,1.91,11.71,2.99,4.07,1.04
25_ZHRD_p,1.5477005798925938,9,ZH,rural,D,B.lapidarius,3.63,6.54,2.52,9.06,2.5,10.16,2.8,3.37,0.93
25_ZHRE_l,1.2990363286657547,6,ZH,rural,E,B.pascuorum,3.58,5.6,2.46,8.06,2.25,10.76,3.01,3.68,1.03
25_ZHRE_p,1.0992347369598308,6,ZH,rural,E,B.lapidarius,3.06,5.92,2.5,8.42,2.75,9.48,3.1,3.26,1.07
25_ZHRF_l,0.8274908603946896,4,ZH,rural,F,B.pascuorum,3.45,5.71,2.51,8.22,2.38,10.75,3.12,3.57,1.03
25_ZHRF_p,0.5017852473624456,4,ZH,rural,F,B.lapidarius,3.21,6.99,2.8,9.79,3.05,10.64,3.31,3.62,1.13
25_ZHUA_l,1.502465101718022,6,ZH,urban,A,B.pascuorum,3.23,5.34,2.2,7.54,2.33,9.79,3.03,3.36,1.04
25_ZHUA_p,0.07289270540782662,2,ZH,urban,A,B.lapidarius,2.33,4.63,2.12,6.75,2.9,7.67,3.29,2.47,1.06
25_ZHUB_l,0.9190884785707404,7,ZH,urban,B,B.pascuorum,3.68,3.68,2.38,6.06,1.65,10.58,3.72,3.83,1.04
25_ZHUB_p,0,1,ZH,urban,B,B.lapidarius,3.41,6.63,2.52,9.15,2.68,10.12,2.97,3.36,0.99
25_ZHUC_l,1.3824004986856395,9,ZH,urban,C,B.pascuorum,3.44,4.96,2.35,7.31,2.13,9.74,2.83,3.37,0.98
25_ZHUC_p,0.8827395690849951,5,ZH,urban,C,B.lapidarius,2.66,5.09,2.1,7.19,2.7,8.61,3.24,2.71,1.02
26_BERD_p,0,1,BE,rural,D,B.lapidarius,3.51,6.97,2.71,9.68,2.76,10.58,3.01,3.76,1.07
26_BEUA_p,0.06813022472593808,2,BE,urban,A,B.lapidarius,2.93,5.9,2.47,8.37,2.86,9.05,3.09,2.78,0.95
26_BEUB_p,1.2431352446812787,5,BE,urban,B,B.lapidarius,2.67,5.39,2.25,7.64,2.86,8.28,2.77,3.11,1.16
26_BSRD_l,1.1059423538215354,5,BS,rural,D,B.pascuorum,3.34,5.44,2.37,7.81,2.34,10.25,3.07,3.67,1.1
26_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.54,7.25,2.8,10.05,2.84,10.92,3.08,4.22,1.19
26_BSRE_l,0.13235932232114575,2,BS,rural,E,B.pascuorum,3.59,5.88,2.48,8.36,2.33,10.69,2.98,3.96,1.1
26_BSRE_p,0,1,BS,rural,E,B.lapidarius,3.3,6.55,2.74,9.29,2.82,10.44,3.16,3.49,1.06
26_BSRF_l,0.4434172479428109,3,BS,rural,F,B.pascuorum,3.41,5.74,2.58,8.32,2.44,10.63,3.12,3.81,1.12
26_BSRF_p,0.2252039680554168,4,BS,rural,F,B.lapidarius,3.54,7.67,3.05,10.72,3.03,11.58,3.27,2.98,0.84
26_BSUA_l,1.1483663596260656,5,BS,urban,A,B.pascuorum,3.83,6.06,2.33,8.39,2.19,11.08,2.89,3.75,0.98
26_BSUA_p,0.10635624500957018,2,BS,urban,A,B.lapidarius,3.48,7.1,2.83,9.93,2.85,10.78,3.1,3.57,1.03
26_BSUB_l,0.5859816325943478,6,BS,urban,B,B.pascuorum,3.24,5.36,2.41,7.77,2.4,10.36,3.2,3.66,1.13
26_BSUB_p,0.6988372473620018,4,BS,urban,B,B.lapidarius,3.16,6.48,2.58,9.06,2.87,9.81,3.1,3.35,1.06
26_BSUC_l,0.8426814446857389,5,BS,urban,C,B.pascuorum,3.51,5.79,2.5,8.29,2.36,10.82,3.08,3.67,1.05
26_BSUC_p,0.4995444108763514,5,BS,urban,C,B.lapidarius,2.74,4.85,2.39,7.24,2.64,9.02,3.29,2.96,1.08
26_ZHRD_l,1.6806892046033355,8,ZH,rural,D,B.pascuorum,3.19,5.37,2.18,7.55,2.37,9.79,3.07,3.28,1.03
26_ZHRD_p,0.17747693764139894,2,ZH,rural,D,B.lapidarius,3.71,7.43,2.84,10.27,2.77,11.09,2.99,3.76,1.01
26_ZHRE_l,0.1558390411065204,2,ZH,rural,E,B.pascuorum,3.14,4.85,1.94,6.79,2.16,9,2.87,3.02,0.96
26_ZHRE_p,0,1,ZH,rural,E,B.lapidarius,3.16,6.38,2.53,8.91,2.82,9.69,3.07,3.22,1.02
26_ZHRF_l,0.9195517667490556,4,ZH,rural,F,B.pascuorum,3.36,5.4,2.33,7.73,2.3,10.26,3.05,3.44,1.02
26_ZHRF_p,0,1,ZH,rural,F,B.lapidarius,3.33,7.22,2.74,9.96,2.99,10.72,3.22,3.64,1.09
26_ZHUA_l,1.9824340781247343,10,ZH,urban,A,B.pascuorum,3.54,4.73,2.53,7.26,2.05,11.09,3.13,3.67,1.04
26_ZHUA_p,0.3571473765169188,2,ZH,urban,A,B.lapidarius,3.12,5.96,2.37,8.33,2.67,9.46,3.03,3.09,0.99
26_ZHUB_l,1.276953067744138,7,ZH,urban,B,B.pascuorum,3.78,5.97,2.53,8.5,2.25,12,3.17,3.79,1
26_ZHUB_p,1.4855248493940345,7,ZH,urban,B,B.lapidarius,3.19,5.38,2.64,8.02,2.51,10.34,3.24,3.18,1
26_ZHUC_l,1.1802410838041113,10,ZH,urban,C,B.pascuorum,3.52,4.24,2.27,6.51,1.85,10.43,2.96,3.63,1.03
26_ZHUC_p,1.511578775920114,10,ZH,urban,C,B.lapidarius,3.3,4.63,2.59,7.22,2.19,10.62,3.22,3.56,1.08
27_BERD_p,0.7701261885767381,4,BE,rural,D,B.lapidarius,3.44,7.05,2.85,9.9,2.88,10.83,3.15,3.91,1.14
27_BEUA_p,0.29242180147367436,2,BE,urban,A,B.lapidarius,3.3,6.84,2.67,9.51,2.88,10.09,3.06,3.42,1.04
27_BEUB_p,0.8012000203806223,5,BE,urban,B,B.lapidarius,2.61,5.13,2.14,7.27,2.79,8.1,3.1,2.74,1.05
27_BSRD_l,0,1,BS,rural,D,B.pascuorum,3.44,6.04,2.52,8.56,2.49,10.97,3.19,3.93,1.14
27_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.39,7.2,2.79,9.99,2.95,10.79,3.18,3.64,1.07
27_BSRE_l,1.0051795084670545,4,BS,rural,E,B.pascuorum,3.5,5.77,2.54,8.31,2.37,10.48,2.99,3.68,1.05
27_BSRE_p,0.061720183815147475,2,BS,rural,E,B.lapidarius,3.33,6.92,2.83,9.75,2.93,10.47,3.14,3.65,1.1
27_BSRF_l,0.09126634781343831,2,BS,rural,F,B.pascuorum,3.36,5.71,2.48,8.19,2.44,10.41,3.1,3.83,1.14
27_BSRF_p,0.6260297332975024,7,BS,rural,F,B.lapidarius,3.07,6.1,2.52,8.62,2.81,9.26,3.02,3.06,1
27_BSUA_l,1.1451952565996624,7,BS,urban,A,B.pascuorum,3.84,5.99,2.53,8.52,2.22,11.54,3.01,3.94,1.03
27_BSUA_p,0.5038584821069844,3,BS,urban,A,B.lapidarius,3.64,6.26,2.81,9.07,2.49,11.14,3.06,3.87,1.06
27_BSUB_l,0.25563747962308436,3,BS,urban,B,B.pascuorum,3.61,5.57,2.61,8.18,2.27,11.33,3.14,4,1.11
27_BSUB_p,0.5967027271444746,4,BS,urban,B,B.lapidarius,2.93,5.91,2.32,8.23,2.81,9.1,3.11,3.01,1.03
27_BSUC_l,0.885052213484401,4,BS,urban,C,B.pascuorum,3.2,5.34,2.32,7.66,2.39,10.07,3.15,3.33,1.04
27_BSUC_p,0.1315176131123386,2,BS,urban,C,B.lapidarius,2.98,5.82,2.39,8.21,2.76,9.13,3.06,3.07,1.03
27_ZHRD_l,1.097665509297165,7,ZH,rural,D,B.pascuorum,2.95,5.02,2.14,7.16,2.43,9.54,3.23,3.19,1.08
27_ZHRD_p,0.927712884068044,4,ZH,rural,D,B.lapidarius,2.88,5.56,2.27,7.83,2.72,8.69,3.02,2.84,0.99
27_ZHRE_l,0.4576649892707351,3,ZH,rural,E,B.pascuorum,3.27,5.58,2.39,7.97,2.44,9.94,3.04,3.4,1.04
27_ZHRE_p,0.18106882459019588,3,ZH,rural,E,B.lapidarius,3.14,6.49,2.65,9.14,2.91,10.35,3.3,3.69,1.18
27_ZHRF_l,0.9121690167881616,3,ZH,rural,F,B.pascuorum,3.38,5.29,2.31,7.6,2.25,9.95,2.94,3.36,0.99
27_ZHRF_p,0.2135978695433523,2,ZH,rural,F,B.lapidarius,3.57,7.62,2.79,10.41,2.92,11.25,3.15,3.88,1.09
27_ZHUA_l,1.0965328943870556,4,ZH,urban,A,B.pascuorum,3.6,5.91,1.82,7.73,2.15,11.47,3.19,3.87,1.08
27_ZHUA_p,1.4817545857206715,6,ZH,urban,A,B.lapidarius,3.19,4.7,2.45,7.15,2.24,9.98,3.13,3.16,0.99
27_ZHUB_l,0.5023993976589379,3,ZH,urban,B,B.pascuorum,3.56,5.23,2.51,7.74,2.17,10.66,2.99,3.5,0.98
27_ZHUB_p,0.06411162856042808,2,ZH,urban,B,B.lapidarius,3.14,6.53,2.72,9.25,2.95,11,3.5,3.54,1.13
27_ZHUC_l,0.29577079580738286,2,ZH,urban,C,B.pascuorum,3.7,4.15,2.6,6.75,1.82,11.37,3.07,4,1.08
27_ZHUC_p,0.5937718465506716,4,ZH,urban,C,B.lapidarius,2.97,6.01,2.25,8.26,2.78,9.44,3.18,3.06,1.03
28_BERD_p,0,1,BE,rural,D,B.lapidarius,3.54,7.3,2.91,10.21,2.88,11.03,3.12,3.82,1.08
28_BEUB_p,1.8281568841358522,9,BE,urban,B,B.lapidarius,3.4,7.42,2.89,10.31,3.03,10.76,3.16,3.72,1.09
28_BSRD_l,0.9411390100089407,4,BS,rural,D,B.pascuorum,3.57,6.04,2.35,8.39,2.35,11.21,3.14,3.8,1.06
28_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.7,7.6,2.97,10.57,2.86,11.68,3.16,3.83,1.04
28_BSRE_l,0.9159075777944476,5,BS,rural,E,B.pascuorum,3.49,5.8,2.51,8.31,2.38,11.02,3.16,3.84,1.1
28_BSRE_p,0.6669606365819627,3,BS,rural,E,B.lapidarius,3.15,5.9,2.59,8.49,2.7,9.69,3.08,3.34,1.06
28_BSRF_l,0.6835207116842841,3,BS,rural,F,B.pascuorum,3.36,5.38,2.43,7.81,2.32,10.33,3.07,3.64,1.08
28_BSRF_p,1.1438241127267896,7,BS,rural,F,B.lapidarius,3.39,7.06,2.79,9.85,2.91,10.5,3.1,3.66,1.08
28_BSUA_l,1.1285369803564547,8,BS,urban,A,B.pascuorum,3.05,4.86,2.14,7,2.3,9.59,3.14,3.23,1.06
28_BSUA_p,0.4266912876071373,4,BS,urban,A,B.lapidarius,3.03,6.4,2.51,8.91,2.94,9.87,3.26,3.05,1.01
28_BSUB_l,0.5959842086613933,6,BS,urban,B,B.pascuorum,3.32,4.23,2.16,6.39,1.92,9.73,2.93,3.44,1.04
28_BSUB_p,0,1,BS,urban,B,B.lapidarius,3.36,6.55,2.59,9.14,2.72,10.02,2.98,3.34,0.99
28_BSUC_l,0.9640200048397949,4,BS,urban,C,B.pascuorum,3.01,4.33,1.97,6.3,2.09,8.37,2.78,2.83,0.94
28_BSUC_p,0,1,BS,urban,C,B.lapidarius,3.45,6.87,2.68,9.55,2.77,10.56,3.06,3.42,0.99
28_ZHRD_l,1.035652579064398,5,ZH,rural,D,B.pascuorum,3.3,5.36,2.22,7.58,2.3,10.12,3.07,3.26,0.99
28_ZHRD_p,0.7135556628012608,5,ZH,rural,D,B.lapidarius,3.58,6.23,2.8,9.03,2.52,10.74,3,3.9,1.09
28_ZHRE_l,0.6564129586363566,4,ZH,rural,E,B.pascuorum,3.51,6.04,2.58,8.62,2.46,11.57,3.3,4.28,1.22
28_ZHRE_p,0,1,ZH,rural,E,B.lapidarius,3.5,7.36,2.89,10.25,2.93,11.14,3.18,3.7,1.06
28_ZHRF_l,0.9067982212705514,5,ZH,rural,F,B.pascuorum,3.63,6.1,2.46,8.56,2.36,11.43,3.15,3.83,1.06
28_ZHRF_p,0,1,ZH,rural,F,B.lapidarius,3.59,7.07,2.78,9.85,2.74,11.06,3.08,3.78,1.05
28_ZHUA_l,1.736688784586948,8,ZH,urban,A,B.pascuorum,2.95,4.61,2.04,6.65,2.25,8.82,2.99,2.93,0.99
28_ZHUA_p,0.7235005234257688,6,ZH,urban,A,B.lapidarius,3.22,6.03,2.39,8.42,2.61,9.19,2.85,3.04,0.94
28_ZHUB_l,0.36666044295927863,3,ZH,urban,B,B.pascuorum,3.06,4.84,2.1,6.94,2.27,9.36,3.06,3.22,1.05
28_ZHUB_p,0,1,ZH,urban,B,B.lapidarius,3.73,5.31,2.76,8.07,2.16,11,2.95,3.61,0.97
28_ZHUC_l,1.1893821284021986,5,ZH,urban,C,B.pascuorum,3.42,5.78,2.41,8.19,2.39,10.4,3.04,3.63,1.06
28_ZHUC_p,0.2541548533350443,3,ZH,urban,C,B.lapidarius,3.42,7.56,2.76,10.32,3.02,11.68,3.42,3.57,1.04
29_BERD_p,0.43767154512143813,2,BE,rural,D,B.lapidarius,3.46,7.44,2.87,10.31,2.98,11.34,3.28,4.2,1.21
29_BEUA_p,0.2669596621510693,2,BE,urban,A,B.lapidarius,3.6,5.89,2.51,8.4,2.33,10.49,2.91,3.45,0.96
29_BEUB_p,1.8909422548703105,13,BE,urban,B,B.lapidarius,2.79,6.15,2.29,8.44,3.03,9.47,3.39,3.22,1.15
29_BSRD_l,0.21607749821178282,2,BS,rural,D,B.pascuorum,3.48,5.74,2.52,8.26,2.37,10.87,3.12,3.9,1.12
29_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.83,6.93,3.01,9.94,2.6,11.84,3.09,4.1,1.07
29_BSRE_l,0.38098016368999427,3,BS,rural,E,B.pascuorum,3.64,5.62,2.43,8.05,2.21,10.89,2.99,3.69,1.01
29_BSRE_p,0.10149021073078779,2,BS,rural,E,B.lapidarius,3.3,6.38,2.57,8.95,2.71,9.66,2.93,3.37,1.02
29_BSRF_l,0.34276376241276996,2,BS,rural,F,B.pascuorum,3.69,6.02,2.65,8.67,2.35,11.09,3.01,4.06,1.1
29_BSRF_p,0.6266649102089663,7,BS,rural,F,B.lapidarius,3.4,6.95,2.88,9.83,2.89,10.91,3.21,3.71,1.09
29_BSUA_l,1.4972300127232336,10,BS,urban,A,B.pascuorum,3.27,4.98,2.31,7.29,2.23,9.88,3.02,3.47,1.06
29_BSUA_p,0.6988958448237822,3,BS,urban,A,B.lapidarius,3.16,4.86,2.52,7.38,2.34,9.89,3.13,3.14,0.99
29_BSUB_l,1.9056105778858021,9,BS,urban,B,B.pascuorum,3.31,3.63,2.46,6.09,1.84,10.21,3.08,3.54,1.07
29_BSUB_p,0.24405885795887855,3,BS,urban,B,B.lapidarius,2.77,6.03,2.46,8.49,3.06,9.14,3.3,2.91,1.05
29_BSUC_l,1.1434195408423737,5,BS,urban,C,B.pascuorum,3.42,5.23,2.05,7.28,2.13,10.13,2.96,3.44,1.01
29_BSUC_p,2.1814157938410768,12,BS,urban,C,B.lapidarius,2.92,5.92,2.46,8.38,2.87,9.32,3.19,3.17,1.09
29_ZHRD_l,1.0955737470449893,6,ZH,rural,D,B.pascuorum,3.31,5.34,2.38,7.72,2.33,10.14,3.06,3.23,0.98
29_ZHRD_p,0.08708605507511884,2,ZH,rural,D,B.lapidarius,3.09,5.9,2.42,8.32,2.69,9.51,3.08,3.27,1.06
29_ZHRE_l,0.1303615781143435,3,ZH,rural,E,B.pascuorum,3.28,3.39,2.18,5.57,1.7,9.69,2.95,3.34,1.02
29_ZHRE_p,0.5039624128601141,2,ZH,rural,E,B.lapidarius,3.17,6.2,2.48,8.68,2.74,9.76,3.08,3.33,1.05
29_ZHRF_l,0.2192929869320378,3,ZH,rural,F,B.pascuorum,3.86,6.23,2.71,8.94,2.32,11.44,2.96,3.92,1.02
29_ZHRF_p,0,1,ZH,rural,F,B.lapidarius,2.62,5.61,2.31,7.92,3.02,8.73,3.33,2.98,1.14
29_ZHUA_l,0.7813575303794573,5,ZH,urban,A,B.pascuorum,3.25,5.63,3.43,9.06,2.79,10.2,3.14,3.45,1.06
29_ZHUA_p,0.17892598749614352,3,ZH,urban,A,B.lapidarius,3.16,5.26,2.43,7.69,2.43,9.57,3.03,3.18,1.01
29_ZHUB_l,1.283907705759055,6,ZH,urban,B,B.pascuorum,3.38,3.83,2.39,6.22,1.84,10.52,3.11,3.42,1.01
29_ZHUC_l,1.5667217736850418,6,ZH,urban,C,B.pascuorum,3.76,5.8,2.44,8.24,2.19,10.96,2.91,3.67,0.98
29_ZHUC_p,0,1,ZH,urban,C,B.lapidarius,2.96,6.73,2.64,9.37,3.17,10.21,3.45,3.33,1.13
30_BERD_p,0,1,BE,rural,D,B.lapidarius,2.86,6.06,2.46,8.52,2.98,9.33,3.26,3.25,1.14
30_BEUB_p,1.233480508797702,5,BE,urban,B,B.lapidarius,3.84,7.84,3.05,10.89,2.84,11.86,3.09,3.93,1.02
30_BSRD_l,0.662566302111895,4,BS,rural,D,B.pascuorum,3.36,5.47,2.35,7.82,2.33,10.2,3.04,3.58,1.07
30_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.54,7.27,2.86,10.13,2.86,11.09,3.13,3.61,1.02
30_BSRE_l,0.5426355894065826,4,BS,rural,E,B.pascuorum,3.31,5.33,2.36,7.69,2.32,9.88,2.98,3.46,1.05
30_BSRE_p,0.12300542662126954,2,BS,rural,E,B.lapidarius,3.6,7.11,2.88,9.99,2.78,11.09,3.08,3.73,1.04
30_BSRF_l,0.7511028831922961,3,BS,rural,F,B.pascuorum,3.71,5.74,2.52,8.26,2.23,10.84,2.92,3.91,1.05
30_BSUA_l,1.050913079918638,7,BS,urban,A,B.pascuorum,3.03,5.01,2.29,7.3,2.41,9.44,3.12,3.36,1.11
30_BSUA_p,0.08316690293666792,2,BS,urban,A,B.lapidarius,2.98,4.25,2.49,6.74,2.26,9.66,3.24,3.14,1.05
30_BSUB_l,0.16485711636059955,3,BS,urban,B,B.pascuorum,3.51,5.55,2.52,8.07,2.3,10.97,3.13,3.75,1.07
30_BSUB_p,0.33387214823823325,5,BS,urban,B,B.lapidarius,3.05,4.41,2.53,6.94,2.28,9.64,3.16,3.11,1.02
30_BSUC_l,1.981834413467609,12,BS,urban,C,B.pascuorum,3.26,5.96,2.54,8.5,2.61,10.62,3.26,3.7,1.13
30_BSUC_p,0.15460193616926404,3,BS,urban,C,B.lapidarius,3.59,6.7,2.66,9.36,2.61,11.49,3.2,3.53,0.98
30_ZHRD_l,0.07066255325675724,2,ZH,rural,D,B.pascuorum,3.37,5.3,2.26,7.56,2.24,9.89,2.93,3.19,0.95
30_ZHRD_p,0.7953507294200828,3,ZH,rural,D,B.lapidarius,3.51,5.6,2.53,8.13,2.32,10.22,2.91,3.55,1.01
30_ZHRE_l,0.8986267066421633,5,ZH,rural,E,B.pascuorum,3.25,5.28,2.29,7.57,2.33,10.01,3.08,3.54,1.09
30_ZHRE_p,0.32628111368221596,4,ZH,rural,E,B.lapidarius,3.47,7.11,2.83,9.94,2.86,10.93,3.15,3.72,1.07
30_ZHRF_l,0.9862912468728711,3,ZH,rural,F,B.pascuorum,3.32,5.26,2.09,7.35,2.21,10.71,3.23,3.41,1.03
30_ZHRF_p,0.09535703000584975,2,ZH,rural,F,B.lapidarius,3.4,7.23,2.76,9.99,2.94,11.07,3.26,3.68,1.08
30_ZHUA_l,1.7444412817867618,12,ZH,urban,A,B.pascuorum,3.15,4.78,2.15,6.93,2.2,9.46,3,3.32,1.05
30_ZHUA_p,1.0852247034754317,6,ZH,urban,A,B.lapidarius,3.02,6.06,3.41,9.47,3.14,9.22,3.05,3.01,1
30_ZHUB_l,0,1,ZH,urban,B,B.pascuorum,3.51,5.8,2.42,8.22,2.34,10.97,3.13,3.86,1.1
30_ZHUB_p,0,1,ZH,urban,B,B.lapidarius,3.54,6.49,2.71,9.2,2.6,10.54,2.98,3.93,1.11
30_ZHUC_l,1.745975001772816,9,ZH,urban,C,B.pascuorum,3.46,5.5,2.44,7.94,2.29,10.47,3.03,3.51,1.01
30_ZHUC_p,0.5269111198376997,3,ZH,urban,C,B.lapidarius,2.75,5.42,2.22,7.64,2.78,8.62,3.13,2.93,1.07
31_BERD_p,0,1,BE,rural,D,B.lapidarius,3.56,7.53,2.9,10.43,2.93,11.19,3.14,4.03,1.13
31_BEUA_p,0.4852243908199747,3,BE,urban,A,B.lapidarius,3.17,6.5,2.7,9.2,2.9,9.92,3.13,3.29,1.04
31_BEUB_p,1.2417805309832297,8,BE,urban,B,B.lapidarius,2.58,5.11,2.05,7.16,2.78,8.52,3.3,2.92,1.13
31_BSRD_l,0.6475323811721576,4,BS,rural,D,B.pascuorum,3.27,5.52,2.45,7.97,2.44,10.31,3.15,3.44,1.05
31_BSRD_p,0.11525388889265946,2,BS,rural,D,B.lapidarius,3.64,7.63,2.98,10.61,2.91,11.65,3.2,3.83,1.05
31_BSRE_l,0.3380885067482913,3,BS,rural,E,B.pascuorum,3.53,5.73,2.52,8.25,2.34,10.35,2.93,3.58,1.01
31_BSRE_p,0.08415413447442693,2,BS,rural,E,B.lapidarius,3.51,7.26,2.8,10.06,2.87,10.81,3.08,3.86,1.1
31_BSRF_p,0.44193793556843275,5,BS,rural,F,B.lapidarius,3.42,7.42,2.88,10.3,3.01,10.9,3.19,3.68,1.08
31_BSUA_l,2.0384536820549326,13,BS,urban,A,B.pascuorum,3.38,5.56,2.25,7.81,2.31,10.32,3.05,3.45,1.02
31_BSUA_p,0.19693090414159437,3,BS,urban,A,B.lapidarius,3.82,7.31,3.14,10.45,2.74,12.06,3.16,3.88,1.02
31_BSUB_l,0.6637416134083874,3,BS,urban,B,B.pascuorum,3.56,5.76,2.5,8.26,2.32,10.86,3.05,3.99,1.12
31_BSUB_p,0.10644076244795772,2,BS,urban,B,B.lapidarius,3.42,5.51,2.91,8.42,2.46,11.37,3.32,3.87,1.13
31_BSUC_l,1.2184204323660197,6,BS,urban,C,B.pascuorum,3.95,6.15,2.67,8.82,2.23,11.48,2.91,3.69,0.93
31_BSUC_p,0.9675452813518901,4,BS,urban,C,B.lapidarius,2.45,4.55,1.9,6.45,2.63,7.7,3.14,2.45,1
31_ZHRD_l,0.5435936783967644,4,ZH,rural,D,B.pascuorum,3.6,5.75,2.46,8.21,2.28,10.91,3.03,3.27,0.91
31_ZHRD_p,0.29686296729564376,4,ZH,rural,D,B.lapidarius,3.9,6.87,2.67,9.54,2.45,10.78,2.76,3.57,0.92
31_ZHRE_l,0,1,ZH,rural,E,B.pascuorum,2.82,4.6,2.14,6.74,2.39,8.98,3.18,2.95,1.05
31_ZHRE_p,0,1,ZH,rural,E,B.lapidarius,3.12,6.15,2.54,8.69,2.79,9.86,3.16,3.21,1.03
31_ZHRF_l,0.7669902855340993,6,ZH,rural,F,B.pascuorum,3.19,5.09,2.14,7.23,2.27,9.88,3.1,3.42,1.07
31_ZHRF_p,0,1,ZH,rural,F,B.lapidarius,3.66,7.58,2.91,10.49,2.87,11.37,3.11,3.79,1.04
31_ZHUA_l,0.5232757586001245,5,ZH,urban,A,B.pascuorum,3.54,4.82,2.46,7.28,2.06,10.89,3.08,3.83,1.08
31_ZHUA_p,0.45255162200985,4,ZH,urban,A,B.lapidarius,3.47,6.56,2.53,9.09,2.62,9.81,2.83,3.34,0.96
31_ZHUB_l,1.005414485259862,5,ZH,urban,B,B.pascuorum,3.37,5.27,2.38,7.65,2.27,10.15,3.01,3.66,1.09
31_ZHUB_p,1.182298025990263,5,ZH,urban,B,B.lapidarius,3.42,6.72,2.51,9.23,2.7,9.15,2.68,3.51,1.03
31_ZHUC_l,2.194187298749357,11,ZH,urban,C,B.pascuorum,3.45,5.88,2.56,8.44,2.45,11.33,3.28,3.78,1.1
31_ZHUC_p,0.8505923574168621,3,ZH,urban,C,B.lapidarius,3.28,6.45,2.53,8.98,2.74,9.8,2.99,3.35,1.02
32_BERD_p,0,1,BE,rural,D,B.lapidarius,3.11,6.73,2.72,9.45,3.04,10.2,3.28,3.44,1.11
32_BEUA_p,0.27133586840256907,4,BE,urban,A,B.lapidarius,4.3,8.73,3.23,11.96,2.78,12.74,2.96,4.01,0.93
32_BEUB_p,0.7013992976035452,4,BE,urban,B,B.lapidarius,3.16,5.79,2.63,8.42,2.66,10.06,3.18,3.21,1.02
32_BSRD_l,0.06735475205120446,2,BS,rural,D,B.pascuorum,3.94,6.16,2.68,8.84,2.24,11.47,2.91,3.9,0.99
32_BSRD_p,0,1,BS,rural,D,B.lapidarius,3.67,7.41,2.92,10.33,2.81,11.34,3.09,3.76,1.02
32_BSRE_l,0,1,BS,rural,E,B.pascuorum,3.09,4.65,2.13,6.78,2.19,9.03,2.92,3.18,1.03
32_BSRE_p,0.7513219941675258,4,BS,rural,E,B.lapidarius,3.1,6.76,2.71,9.47,3.05,10.34,3.34,3.7,1.19
32_BSRF_l,0.07205298351185495,2,BS,rural,F,B.pascuorum,3.23,5.44,2.38,7.82,2.42,10.12,3.13,3.71,1.15
32_BSRF_p,0.4163209311279149,6,BS,rural,F,B.lapidarius,3.63,7.3,2.93,10.23,2.82,11.2,3.09,3.91,1.08
32_BSUA_l,1.605838462146617,9,BS,urban,A,B.pascuorum,3.23,5.41,2.32,7.73,2.39,10.26,3.18,3.34,1.03
32_BSUB_l,0,1,BS,urban,B,B.pascuorum,3.11,5.02,2.07,7.09,2.28,10.06,3.23,3.51,1.13
32_BSUB_p,0.06228794202990071,2,BS,urban,B,B.lapidarius,3.42,5.04,2.84,7.88,2.3,10.96,3.2,3.58,1.05
32_ZHRD_l,0.06307422705505415,2,ZH,rural,D,B.pascuorum,3.3,4.84,2.19,7.03,2.13,9.47,2.87,3.24,0.98
32_ZHRD_p,0.05869266702549932,2,ZH,rural,D,B.lapidarius,3.58,7.05,2.75,9.8,2.74,10.83,3.03,3.71,1.04
32_ZHRE_l,0.5010276044798895,5,ZH,rural,E,B.pascuorum,3.54,5.69,2.54,8.23,2.32,10.67,3.01,3.81,1.08
32_ZHRE_p,0.16200349221453944,2,ZH,rural,E,B.lapidarius,3.46,7.19,2.86,10.05,2.9,10.8,3.12,3.78,1.09
32_ZHRF_l,0,1,ZH,rural,F,B.pascuorum,4.11,6.45,2.84,9.29,2.26,12.38,3.01,4.13,1
32_ZHRF_p,0,1,ZH,rural,F,B.lapidarius,3.86,7.91,2.97,10.88,2.82,11.68,3.03,3.92,1.02
32_ZHUA_l,0.9962084548138228,5,ZH,urban,A,B.pascuorum,3.11,5.22,2.35,7.57,2.43,10.08,3.24,3.57,1.15
32_ZHUA_p,1.7861652147807863,9,ZH,urban,A,B.lapidarius,2.67,5.35,2.13,7.48,2.8,8.53,3.19,2.84,1.06
32_ZHUB_l,0.17746639644575624,3,ZH,urban,B,B.pascuorum,3.02,5.08,2.23,7.31,2.42,9.79,3.24,3.19,1.06
