ID,Shannon,NrSpecies,location,landscape,replicate,bbspecies,intertegular_distance,glossa,prementum,proboscis_length,proboscis_ratio,fore_wing_length,fore_wing_ratio,corbicula_length,corbicula_ratio
21_BSRF_p,0.30854748863865566,3,BS,rural,F,B.lapidarius,3.13,6.43,2.66,9.09,2.9,9.68,3.09,3.28,1.05
21_BSUA_l,0.66969746818428,5,BS,urban,A,B.pascuorum,3,4.68,2.14,6.82,2.27,9.48,3.16,3.08,1.03
21_BSUA_p,1.4052143467232097,8,BS,urban,A,B.lapidarius,3.77,5.61,2.95,8.56,2.27,11.86,3.15,4.03,1.07
21_BSUB_l,0.09562914575433333,2,BS,urban,B,B.pascuorum,2.95,4.99,2.18,7.17,2.43,10.01,3.39,3.25,1.1
21_BSUB_p,1.5938139063898367,9,BS,urban,B,B.lapidarius,2.75,5.73,2.29,8.02,2.92,8.94,3.25,3.02,1.1
21_BSUC_l,1.9805307970711703,12,BS,urban,C,B.pascuorum,3.42,5.58,1.89,7.47,2.18,10.58,3.09,3.68,1.08
21_BSUC_p,1.7781351104415604,9,BS,urban,C,B.lapidarius,3.48,7.32,2.77,10.09,2.9,11.41,3.28,3.72,1.07
21_ZHRD_l,0.8299701277551257,6,ZH,rural,D,B.pascuorum,3.28,5.27,2.19,7.46,2.27,9.89,3.02,3.39,1.03
21_ZHRD_p,0.6233387362008783,4,ZH,rural,D,B.lapidarius,3.51,6.47,2.62,9.09,2.59,9.78,2.79,3.32,0.95
21_ZHRE_l,1.5420946773424995,8,ZH,rural,E,B.pascuorum,3.74,5.95,2.53,8.48,2.27,11.03,2.95,3.81,1.02
21_ZHRE_p,0.9095126265082022,4,ZH,rural,E,B.lapidarius,3.27,6.57,2.63,9.2,2.81,10.11,3.09,3.6,1.1
21_ZHRF_l,1.003330790320139,4,ZH,rural,F,B.pascuorum,3.64,5.96,2.57,8.53,2.34,11.07,3.04,3.82,1.05
21_ZHRF_p,0.059159061584906664,2,ZH,rural,F,B.lapidarius,3.57,6.04,2.96,9,2.52,11.32,3.17,3.83,1.07
21_ZHUA_l,1.3015672324890288,7,ZH,urban,A,B.pascuorum,3.32,5.47,2.23,7.7,2.32,10.31,3.11,3.72,1.12
21_ZHUA_p,0.3592864511532682,4,ZH,urban,A,B.lapidarius,3.49,7.09,2.67,9.76,2.8,10.66,3.05,3.72,1.07
21_ZHUB_l,0.9886469797945069,8,ZH,urban,B,B.pascuorum,3.68,5.77,2.5,8.27,2.25,11.5,3.13,3.83,1.04
21_ZHUB_p,0.4400434443397513,2,ZH,urban,B,B.lapidarius,3.4,4.6,2.67,7.27,2.14,11,3.24,3.42,1.01
21_ZHUC_l,0.46637361048482295,2,ZH,urban,C,B.pascuorum,3.29,4.88,2.12,7,2.13,9.46,2.88,3.25,0.99
21_ZHUC_p,0.25332405895580334,3,ZH,urban,C,B.lapidarius,3.22,6.47,2.57,9.04,2.81,9.88,3.07,3.33,1.03
22_BERD_p,0.5095135646521227,4,BE,rural,D,B.lapidarius,3.67,6.94,2.78,9.72,2.65,10.51,2.86,3.8,1.04
