"","ID","Shannon","NrSpecies","location","landscape","replicate","bbspecies","bborgan","site"
"812","19_ZHUC_lB",0.634173498346614,6,"ZH","U","C","B.pascuorum","B","ZH_U"
"813","19_ZHUC_pB",0.868384506694836,7,"ZH","U","C","B.lapidarius","B","ZH_U"
"814","20_BERD_pB",0.172185294564083,2,"BE","R","D","B.lapidarius","B","BE_R"
"815","20_BERD_pL_E5",0.209051670209603,2,"BE","R","D","B.lapidarius","L_E5","BE_R"
"816","20_BERD_pL_F5",0,1,"BE","R","D","B.lapidarius","L_F5","BE_R"
"817","20_BEUA_pB",0.170527885154879,2,"BE","U","A","B.lapidarius","B","BE_U"
"818","20_BEUA_pL",0,1,"BE","U","A","B.lapidarius","L","BE_U"
"819","20_BEUB_lB",1.31900710170478,5,"BE","U","B","B.pascuorum","B","BE_U"
"820","20_BEUB_pB",0.338549532060855,3,"BE","U","B","B.lapidarius","B","BE_U"
"821","20_BEUB_pL",0,1,"BE","U","B","B.lapidarius","L","BE_U"
"822","20_BEUC_pB",0,1,"BE","U","C","B.lapidarius","B","BE_U"
"823","20_BEUC_pL",0,1,"BE","U","C","B.lapidarius","L","BE_U"
"824","20_BSRD_lB",0.159525269980588,3,"BS","R","D","B.pascuorum","B","BS_R"
"825","20_BSRD_pB",0.0854740544553235,2,"BS","R","D","B.lapidarius","B","BS_R"
"826","20_BSRE_lB",0.596771698544663,2,"BS","R","E","B.pascuorum","B","BS_R"
"827","20_BSRE_pB",0,1,"BS","R","E","B.lapidarius","B","BS_R"
"828","20_BSRF_lB",0.26466963860491,3,"BS","R","F","B.pascuorum","B","BS_R"
"829","20_BSRF_pB",1.14096342468768,5,"BS","R","F","B.lapidarius","B","BS_R"
"830","20_BSUA_lB",1.21494673075911,8,"BS","U","A","B.pascuorum","B","BS_U"
"831","20_BSUA_pB",0.313783877901155,4,"BS","U","A","B.lapidarius","B","BS_U"
"832","20_BSUB_lB",1.22853009785513,5,"BS","U","B","B.pascuorum","B","BS_U"
"833","20_BSUB_lL",1.29617979488973,6,"BS","U","B","B.pascuorum","L","BS_U"
"834","20_BSUB_pB",1.38323348203947,8,"BS","U","B","B.lapidarius","B","BS_U"
"835","20_BSUC_lB",1.61931763282534,8,"BS","U","C","B.pascuorum","B","BS_U"
"836","20_BSUC_pB",1.71393771067722,11,"BS","U","C","B.lapidarius","B","BS_U"
"837","20_ZHRD_lB",1.48706754813059,9,"ZH","R","D","B.pascuorum","B","ZH_R"
"838","20_ZHRD_pB",0,1,"ZH","R","D","B.lapidarius","B","ZH_R"
"839","20_ZHRD_pL",0.161006900956982,3,"ZH","R","D","B.lapidarius","L","ZH_R"
"840","20_ZHRE_lB",1.0434820804489,5,"ZH","R","E","B.pascuorum","B","ZH_R"
"841","20_ZHRE_lL",0.222133404401847,2,"ZH","R","E","B.pascuorum","L","ZH_R"
"842","20_ZHRE_pB",0.26533712835188,3,"ZH","R","E","B.lapidarius","B","ZH_R"
"843","20_ZHRF_lB",0.328091045921661,3,"ZH","R","F","B.pascuorum","B","ZH_R"
"844","20_ZHRF_lL",0.597157974956017,3,"ZH","R","F","B.pascuorum","L","ZH_R"
"845","20_ZHRF_pB",0,1,"ZH","R","F","B.lapidarius","B","ZH_R"
"846","20_ZHRF_pL",0,1,"ZH","R","F","B.lapidarius","L","ZH_R"
