Taxon_Id,Species,occ,Years (min),Years (max)
1045450,Stellaria pallida (Dumort.) Crép.,7,2013,2020
1045660,Stratiotes aloides L.,1,2013,2013
1045690,Succisa pratensis Moench,6,1952,2015
1045730,Symphoricarpos albus (L.) S. F. Blake,487,1887,2022
1045740,Symphoricarpos orbicularis Moench,7,2012,2015
1045780,Symphytum grandiflorum DC.,19,2013,2016
1045790,Symphytum officinale L.,93,1936,2021
1045785,Symphytum officinale aggr.,97,1936,2021
1045840,Symphytum ×uplandicum Nyman,2,2013,2013
1045860,Syringa vulgaris L.,15,2013,2019
1045870,Tagetes erecta L.,1,2012,2012
1045910,Tamus communis L.,2,1982,2022
1045920,Tanacetum balsamita L.,1,2020,2020
1045970,Tanacetum macrophyllum (Waldst. & Kit.) Sch. Bip.,1,1917,1917
1045980,Tanacetum parthenium (L.) Sch. Bip.,18,1899,2021
1045990,Tanacetum vulgare L.,34,1879,2022
1046070,Taraxacum laevigatum aggr.,1,1899,1899
1046080,Taraxacum officinale aggr.,124,1936,2021
1046110,Taraxacum palustre aggr.,6,1899,2017
1046140,Taxus baccata L.,60,1982,2022
1046250,Tetragonia tetragonoides (Pall.) Kuntze,2,1899,1899
1046260,Teucrium botrys L.,11,1911,2019
1046270,Teucrium chamaedrys L.,7,1911,2016
1046310,Teucrium scordium L.,20,1850,1944
1046320,Teucrium scorodonia L.,11,1982,2022
1046340,Thalictrum aquilegiifolium L.,10,1768,2018
1046360,Thalictrum flavum L.,4,2001,2016
1046500,Thesium pyrenaicum Pourr.,1,1911,1966
1046570,Thlaspi arvense L.,19,1899,2021
1046610,Thlaspi perfoliatum L.,9,1899,2016
1046690,Thuja occidentalis L.,2,2013,2014
1046830,Thymus praecox Opiz,4,2013,2014
1046840,Thymus praecox Opiz subsp. praecox,2,2013,2013
1046850,Thymus praecox subsp. polytrichus (Borbás) Jalas,2,2013,2014
1046860,Thymus pulegioides L.,3,2020,2021
1046890,Thymus serpyllum aggr.,43,1881,2022
1046950,Tilia cordata Mill.,15,1901,2022
1046970,Tilia platyphyllos Scop.,51,1899,2022
1046980,Tilia tomentosa Moench,2,2015,2015
1046990,Tofieldia calyculata (L.) Wahlenb.,3,1768,1982
1047050,Torilis japonica (Houtt.) DC.,30,1899,2022
1047120,Trachystemon orientalis (L.) G. Don,1,2014,2014
1047160,Tragopogon dubius Scop.,3,2019,2021
1047180,Tragopogon pratensis L.,34,1952,2021
1047190,Tragopogon pratensis L. subsp. pratensis,2,2016,2016
1047220,Tragopogon pratensis subsp. orientalis (L.) Čelak.,16,1952,2017
1047350,Trifolium alexandrinum L.,3,1994,2016
1047390,Trifolium arvense L.,10,1884,2019
1047400,Trifolium aureum Pollich,8,1982,2021
