"","nbsp.w","FRic.w","FEve.w","FDiv.w"
"08_BEUA_p",6,9.10374580406901,0.709524010286898,0.355894973690866
"08_BEUB_p",13,4.44295504074492,0.676773615632647,0.911470793842455
"08_BEUC_p",4,0.704596773317782,0.549037919983362,0.975569182175649
"08_BSRD_p",3,0.0446222612662217,0.149851322932209,0.988645952283156
"08_BSRE_p",2,NA,NA,NA
"08_BSRF_p",5,0.857394480884292,0.712052610127249,0.553566150056089
"08_BSUA_p",2,NA,NA,NA
"08_BSUB_p",4,2.28029132657042,0.403908643379671,0.793871269803613
"08_BSUC_p",7,1.66724846217249,0.620541677481378,0.972649153277555
"08_ZHRD_p",3,0.423449150210103,0.0918261826727294,0.995052129505984
"08_ZHRE_p",6,1.56920516320245,0.770242212597995,0.955087712742496
"08_ZHRF_p",2,NA,NA,NA
"08_ZHUA_p",10,2.50951300607821,0.407958098924323,0.658117661079519
"08_ZHUB_p",4,1.23592978283868,0.599058713316748,0.735276729381455
"08_ZHUC_p",1,NA,NA,NA
"09_1_BERD_p",1,NA,NA,NA
"09_2_BERD_p",3,0.990516661830614,0.205873825660777,0.975713735532958
"09_BEUA_p",4,2.29694385783822,0.249058554961015,0.964605408435928
"09_BEUB_p",4,2.0758413632832,0.500014275661728,0.753249278025791
"09_BEUC_p",2,NA,NA,NA
"09_BSRD_p",2,NA,NA,NA
"09_BSRE_p",2,NA,NA,NA
"09_BSRF_p",8,9.30731488099841,0.491559799813287,0.876309692484965
"09_BSUA_p",2,NA,NA,NA
"09_BSUB_p",4,1.36164689781973,0.352292840788875,0.768145535129315
"09_BSUC_p",6,1.66724846217249,0.451905186261092,0.899831766043589
"09_ZHRD_p",3,1.28422817795509,0.332583533795732,0.995653058291663
"09_ZHRE_p",2,NA,NA,NA
"09_ZHRF_p",1,NA,NA,NA
"09_ZHUA_p",2,NA,NA,NA
"09_ZHUB_p",9,2.86277491235013,0.567446214944282,0.818242701285278
"09_ZHUC_p",4,0.116189647758423,0.269576504672912,0.661188452286684
"10_1_BERD_p",1,NA,NA,NA
"10_2_BERD_p",2,NA,NA,NA
"10_BEUA_p",1,NA,NA,NA
"10_BEUB_p",8,7.84927857404221,0.493214977992764,0.658563387041117
"10_BEUC_p",4,0.434810467595794,0.351475955926319,0.975251386807734
"10_BSRD_p",1,NA,NA,NA
"10_BSRE_p",1,NA,NA,NA
"10_BSRF_p",3,0.427428559525812,0.402343593886318,0.939840567639728
"10_BSUA_p",8,1.84826698514778,0.559791752064071,0.77185152736782
"10_BSUB_p",3,0.00281940415833307,0.664867442515495,0.185263158841325
"10_BSUC_p",4,0.867053186042488,0.367218882637747,0.980847773864156
"10_ZHRD_p",4,2.28125977442909,0.330439252674041,0.605208876035409
"10_ZHRE_p",6,1.90147423512988,0.635087607012657,0.887213219441097
"10_ZHRF_p",1,NA,NA,NA
"10_ZHUA_p",5,1.218128154082,0.455747728745055,0.333226925386382
"10_ZHUB_p",3,0.483311366065882,0.304902368452248,0.973603269074104
"10_ZHUC_p",7,3.1645947355487,0.74016848599661,0.981728261956285
"11_1_BERD_p",1,NA,NA,NA
"11_2_BERD_p",1,NA,NA,NA
"11_BEUA_p",3,0.181722099794109,0.144083978989623,0.994266416198912
"11_BEUB_p",4,0.283929779980758,0.519366461459571,0.977035656194706
"11_BEUC_p",4,0.704596773317782,0.96597825348147,0.833153152163818
"11_BSRD_p",3,0.246983097580882,0.0423712828307141,0.991848215111432
"11_BSRE_p",2,NA,NA,NA
"11_BSRF_p",6,3.80986911868224,0.0671836242798562,0.587044210686344
"11_BSUA_p",5,0.376079826097122,0.408535575523318,0.815525899871103
"11_BSUB_p",2,NA,NA,NA
"11_BSUC_p",3,0.140881711007612,0.865194234817768,0.29368217596772
"11_ZHRD_p",5,4.64098353341944,0.619145028264271,0.978553233775479
"11_ZHRE_p",1,NA,NA,NA
"11_ZHRF_p",7,2.59931348948648,0.73814468829166,0.872237785873606
"11_ZHUA_p",6,1.88181255865623,0.640033598527669,0.650786716606331
"11_ZHUB_p",6,3.91144108338,0.361580009481128,0.984964752617407
"11_ZHUC_p",8,3.63946143827324,0.593940239028476,0.807170974170546
"12_1_BERD_p",2,NA,NA,NA
"12_2_BERD_p",3,0.4416706624199,0.439223450277439,0.71616670913434
"12_BEUA_p",9,3.53019489489355,0.544774151891636,0.942108741835094
"12_BEUB_p",11,1.52661042382774,0.4859056400219,0.802718150019929
"12_BEUC_p",4,0.434810467595794,0.463939292550734,0.973321341905754
"12_BSRD_p",7,1.25175470193947,0.480222885083073,0.973695699728763
"12_BSRE_p",1,NA,NA,NA
"12_BSRF_p",3,0.00281940415833307,0.256426918980548,0.98091170286035
"12_BSUA_p",8,3.10223085756001,0.644413845017532,0.809039085578637
"12_BSUB_p",6,2.95869113138587,0.605185933531824,0.891048231693912
"12_BSUC_p",3,0.00281940415833307,0.662619614837,0.196565067648239
"12_ZHRD_p",8,3.64507842828818,0.289396211100842,0.847733882047703
"12_ZHRE_p",1,NA,NA,NA
"12_ZHRF_p",1,NA,NA,NA
"12_ZHUA_p",5,0.823765191559363,0.365278438601045,0.969551494878667
"12_ZHUB_p",4,1.36947676034964,0.0360335638867508,0.699630471984147
"12_ZHUC_p",7,1.20101614539866,0.325328476534336,0.80639661949627
"13_BERD_p",2,NA,NA,NA
"13_BEUA_p",4,2.96032808857714,0.493826347207627,0.828847462724828
"13_BEUB_p",1,NA,NA,NA
"13_BEUC_p",3,0.909709689563607,0.105819953561954,0.930433151122944
"13_BSRD_p",5,2.30985643741214,0.746885133513846,0.951953393785722
"13_BSRE_p",3,0.00281940415833307,0.0298938694577484,0.987445423907488
"13_BSRF_p",3,0.427428559525812,0.46002447227763,0.983585174541548
"13_BSUA_p",2,NA,NA,NA
"13_BSUB_p",7,4.24868391339982,0.516427069282661,0.651737964643037
"13_BSUC_p",6,1.66724846217249,0.529782514511979,0.960930326750197
"13_ZHRD_p",2,NA,NA,NA
"13_ZHRE_p",3,0.00281940415833307,0.0375510612755643,0.984559042463149
"13_ZHRF_p",1,NA,NA,NA
"13_ZHUA_p",10,3.647738003262,0.536393309789629,0.692953754638873
"13_ZHUB_p",1,NA,NA,NA
"13_ZHUC_p",12,9.19015745056545,0.523511610799454,0.699420118165669
"14_BERD_p",2,NA,NA,NA
