gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue,,,,
3957830467	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10211495253	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium	Geranium dissectum		SPECIES	Geranium dissectum L.	Geranium dissectum L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.562007	7.58343	65.0		262.91	0.0			2020-07-07T09:41:22.324	7	7	2020	2890040	2890040	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:50:03.399Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3957823710	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10109265571	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	Ceratostigma	Ceratostigma plumbaginoides		SPECIES	Ceratostigma plumbaginoides Bunge	Ceratostigma plumbaginoides Bunge	Bunge	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.561246	7.583892	13.0						2019-09-10T15:26:11.993	10	9	2019	3082279	3082279	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:48:37.256Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3957817255	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10177160048	Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus	Cornus mas		SPECIES	Cornus mas L.	Cornus mas L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.558578	7.589796	32.0		349.3	0.0			2020-05-26T12:40:55.924	26	5	2020	3082263	3082263	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:48:45.293Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3957779073	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10640426600	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Berteroa	Berteroa incana		SPECIES	Berteroa incana (L.) DC.	Berteroa incana (L.) DC.	(L.) DC.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.565484	7.583499	13.0		300.0	0.0			2022-07-03T19:04:13.353	3	7	2022	3053522	3053522	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:50:51.676Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3957755443	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10161660950	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Dasiphora	Dasiphora fruticosa		SPECIES	Dasiphora fruticosa (L.) Rydb.	Dasiphora fruticosa (L.) Rydb.	(L.) Rydb.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.558113	7.584566			257.0	0.0			2020-05-08T19:00:59.655	8	5	2020	5370380	5370380	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:48:44.058Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3957723632	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10100230620	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Salvia	Salvia officinalis		SPECIES	Salvia officinalis L.	Salvia officinalis L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.5575	7.585833			316.0	0.0			2019-08-04T15:09:23.002	4	8	2019	2927004	2927004	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:49:45.193Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3957693576	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10244339035	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Chelidonium	Chelidonium majus		SPECIES	Chelidonium majus L.	Chelidonium majus L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.570465	7.590841	1414.0		374.15	0.0			2020-08-27T08:08:38.298	27	8	2020	5334186	5334186	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:48:51.083Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3957687738	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10199398674	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Salvia	Salvia sclarea		SPECIES	Salvia sclarea L.	Salvia sclarea L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.559211	7.582061	15.0		308.0	0.0			2020-06-21T12:33:31.384	21	6	2020	2927000	2927000	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:48:43.654Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3957669880	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10250399665	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus ilex		SPECIES	Quercus ilex L.	Quercus ilex L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.559286	7.581861	65.0		249.13	0.0			2020-09-07T14:47:21.216	7	9	2020	2879098	2879098	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:48:51.102Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
3957660286	14d5676a-2c54-4f94-9023-1e8dcd822aa0	q-10456848939	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium scorodonia		SPECIES	Teucrium scorodonia L.	Teucrium scorodonia L.	L.	CH			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	47.5648	7.575304	35.0		348.0	0.0			2021-08-19T15:42:29.146	19	8	2021	2926901	2926901	HUMAN_OBSERVATION							CC_BY_4_0					2022-11-09T09:50:30.776Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES,,,,
